article_id,index,politics,age,gender,llm_assessment,llm_confidence,llm_model,llm_error
205,1799,Liberal,41,Male,is-not-biased,85,gpt-4o-mini,
148,539,Conservative,25,Female,is-not-biased,85,gpt-4o-mini,
167,225,Independent,20,Female,is-not-biased,85,gpt-4o-mini,
256,224,Liberal,28,Male,is-not-biased,85,gpt-4o-mini,
7,540,Liberal,48,Male,is-not-biased,85,gpt-4o-mini,
123,226,Independent,25,Male,is-not-biased,85,gpt-4o-mini,
182,541,Independent,29,Male,is-not-biased,85,gpt-4o-mini,
50,1800,Independent,44,Male,is-biased,75,gpt-4o-mini,
265,1801,Liberal,72,Male,is-biased,85,gpt-4o-mini,
97,227,Conservative,25,Male,is-biased,75,gpt-4o-mini,
30,1802,Liberal,28,Female,is-not-biased,85,gpt-4o-mini,
111,228,Conservative,31,Male,is-not-biased,75,gpt-4o-mini,
142,542,Independent,27,Female,is-not-biased,85,gpt-4o-mini,
205,1803,Other,36,Female,is-not-biased,85,gpt-4o-mini,
111,543,Independent,46,Female,is-biased,75,gpt-4o-mini,
13,229,Liberal,29,Female,is-not-biased,85,gpt-4o-mini,
212,1804,Independent,36,Male,is-not-biased,85,gpt-4o-mini,
123,544,Independent,37,Male,is-not-biased,85,gpt-4o-mini,
193,545,Independent,54,Female,is-not-biased,85,gpt-4o-mini,
57,230,Liberal,42,Female,is-not-biased,85,gpt-4o-mini,
268,546,Conservative,32,Male,is-not-biased,85,gpt-4o-mini,
115,231,Liberal,27,Female,is-not-biased,85,gpt-4o-mini,
116,1805,Independent,33,Male,is-not-biased,85,gpt-4o-mini,
57,1806,Independent,44,Female,is-not-biased,85,gpt-4o-mini,
165,232,Liberal,36,Female,is-not-biased,85,gpt-4o-mini,
116,547,Liberal,42,Female,is-not-biased,85,gpt-4o-mini,
193,1807,Conservative,61,Female,is-not-biased,85,gpt-4o-mini,
89,234,Independent,27,Male,is-not-biased,85,gpt-4o-mini,
271,233,Independent,24,Male,is-not-biased,85,gpt-4o-mini,
116,1808,Independent,26,Male,is-not-biased,85,gpt-4o-mini,
272,548,Independent,19,Male,is-not-biased,85,gpt-4o-mini,
36,549,Liberal,34,Female,is-not-biased,85,gpt-4o-mini,
47,1809,Liberal,27,Male,is-biased,75,gpt-4o-mini,
87,527,Other,22,Male,is-not-biased,85,gpt-4o-mini,
81,235,Liberal,46,Male,is-not-biased,85,gpt-4o-mini,
6,551,Conservative,48,Female,is-not-biased,85,gpt-4o-mini,
204,236,Other,36,Male,is-biased,75,gpt-4o-mini,
105,550,Conservative,48,Female,is-not-biased,85,gpt-4o-mini,
133,237,Liberal,30,Female,is-not-biased,85,gpt-4o-mini,
246,552,Liberal,25,Female,is-not-biased,85,gpt-4o-mini,
110,1812,Conservative,52,Male,is-biased,75,gpt-4o-mini,
265,1810,Conservative,35,Female,is-biased,85,gpt-4o-mini,
94,553,Conservative,34,Male,is-not-biased,85,gpt-4o-mini,
116,238,Liberal,52,Male,is-not-biased,85,gpt-4o-mini,
192,1813,Conservative,33,Male,is-not-biased,85,gpt-4o-mini,
242,239,Liberal,52,Female,is-biased,75,gpt-4o-mini,
50,240,Independent,47,Male,is-biased,75,gpt-4o-mini,
120,554,Independent,18,Male,is-biased,75,gpt-4o-mini,
195,1814,Conservative,37,Female,is-not-biased,85,gpt-4o-mini,
193,555,Independent,44,Male,is-not-biased,85,gpt-4o-mini,
265,1815,Independent,27,Male,is-biased,75,gpt-4o-mini,
156,304,Liberal,28,Female,is-not-biased,85,gpt-4o-mini,
100,808,Independent,35,Female,is-not-biased,85,gpt-4o-mini,
185,1375,Liberal,66,Female,is-biased,75,gpt-4o-mini,
65,1564,Conservative,51,Male,is-biased,85,gpt-4o-mini,
265,305,Liberal,54,Female,is-biased,85,gpt-4o-mini,
14,1501,Independent,62,Male,is-not-biased,85,gpt-4o-mini,
112,1942,Conservative,45,Male,is-not-biased,85,gpt-4o-mini,
137,1376,Independent,51,Female,is-not-biased,85,gpt-4o-mini,
80,1502,Liberal,35,Male,is-biased,75,gpt-4o-mini,
116,809,Liberal,57,Male,is-not-biased,85,gpt-4o-mini,
237,1565,Liberal,36,Male,is-biased,75,gpt-4o-mini,
278,1943,Independent,36,Female,is-biased,75,gpt-4o-mini,
152,1377,Liberal,35,Male,is-biased,85,gpt-4o-mini,
267,1566,Independent,33,Male,is-not-biased,85,gpt-4o-mini,
10,1503,Conservative,31,Male,is-not-biased,85,gpt-4o-mini,
115,1944,Conservative,38,Male,is-not-biased,85,gpt-4o-mini,
35,307,Liberal,40,Male,is-not-biased,85,gpt-4o-mini,
188,811,Independent,39,Female,is-biased,75,gpt-4o-mini,
123,810,Independent,23,Male,is-not-biased,85,gpt-4o-mini,
157,1378,Liberal,25,Male,is-biased,75,gpt-4o-mini,
208,1567,Conservative,51,Male,is-not-biased,85,gpt-4o-mini,
29,1504,Liberal,39,Male,is-not-biased,85,gpt-4o-mini,
111,1945,Conservative,49,Male,is-not-biased,85,gpt-4o-mini,
121,308,Independent,26,Female,is-not-biased,85,gpt-4o-mini,
227,306,Liberal,27,Female,is-not-biased,85,gpt-4o-mini,
242,1505,Liberal,26,Male,is-biased,75,gpt-4o-mini,
90,812,Liberal,53,Male,is-biased,85,gpt-4o-mini,
134,1568,Conservative,42,Male,is-biased,85,gpt-4o-mini,
22,309,Liberal,26,Female,is-not-biased,85,gpt-4o-mini,
215,1946,Conservative,53,Female,is-not-biased,85,gpt-4o-mini,
267,1379,Independent,39,Male,is-not-biased,85,gpt-4o-mini,
267,813,Conservative,75,Female,is-not-biased,85,gpt-4o-mini,
75,1506,Conservative,36,Male,is-not-biased,85,gpt-4o-mini,
159,1380,Conservative,31,Male,is-biased,85,gpt-4o-mini,
104,1381,Independent,25,Female,is-not-biased,85,gpt-4o-mini,
50,1947,Independent,19,Other,is-biased,75,gpt-4o-mini,
82,814,Liberal,40,Female,is-biased,85,gpt-4o-mini,
129,310,Conservative,32,Male,is-not-biased,85,gpt-4o-mini,
208,1507,Conservative,46,Male,is-not-biased,85,gpt-4o-mini,
115,311,Conservative,62,Male,is-not-biased,85,gpt-4o-mini,
130,1570,Liberal,37,Male,is-biased,75,gpt-4o-mini,
235,1569,Independent,37,Female,is-not-biased,85,gpt-4o-mini,
7,815,Independent,35,Male,is-not-biased,85,gpt-4o-mini,
2,1382,Independent,21,Male,is-not-biased,85,gpt-4o-mini,
43,1508,Conservative,50,Female,is-biased,75,gpt-4o-mini,
119,312,Liberal,65,Female,is-not-biased,85,gpt-4o-mini,
238,1949,Independent,27,Male,is-not-biased,85,gpt-4o-mini,
169,1383,Conservative,42,Male,is-not-biased,85,gpt-4o-mini,
130,1571,Conservative,30,Female,is-biased,75,gpt-4o-mini,
268,1811,Liberal,34,Male,is-not-biased,85,gpt-4o-mini,
103,816,Conservative,25,Female,is-not-biased,85,gpt-4o-mini,
129,1509,Liberal,41,Female,is-not-biased,85,gpt-4o-mini,
208,1572,Conservative,25,Female,is-not-biased,85,gpt-4o-mini,
132,1510,Conservative,31,Male,is-biased,75,gpt-4o-mini,
58,1950,Liberal,64,Female,is-not-biased,85,gpt-4o-mini,
37,1384,Liberal,30,Female,is-not-biased,85,gpt-4o-mini,
3,817,Liberal,48,Female,is-not-biased,85,gpt-4o-mini,
136,1573,Conservative,55,Female,is-not-biased,85,gpt-4o-mini,
112,313,Independent,31,Male,is-not-biased,85,gpt-4o-mini,
230,1385,Independent,35,Female,is-not-biased,85,gpt-4o-mini,
54,1951,Independent,34,Male,is-not-biased,85,gpt-4o-mini,
258,1511,Conservative,30,Male,is-not-biased,85,gpt-4o-mini,
154,314,Conservative,43,Male,is-not-biased,85,gpt-4o-mini,
101,818,Conservative,43,Male,is-not-biased,85,gpt-4o-mini,
133,1574,Conservative,26,Female,is-biased,75,gpt-4o-mini,
193,1952,Independent,40,Male,is-not-biased,85,gpt-4o-mini,
102,315,Independent,34,Female,is-not-biased,75,gpt-4o-mini,
130,1512,Conservative,56,Female,is-biased,75,gpt-4o-mini,
112,819,Conservative,33,Male,is-not-biased,85,gpt-4o-mini,
192,1953,Liberal,36,Female,is-biased,75,gpt-4o-mini,
246,1575,Independent,29,Male,is-not-biased,85,gpt-4o-mini,
184,1386,Conservative,26,Female,is-not-biased,85,gpt-4o-mini,
19,316,Liberal,75,Male,is-not-biased,85,gpt-4o-mini,
150,820,Liberal,31,Female,is-not-biased,85,gpt-4o-mini,
182,1513,Conservative,25,Female,is-biased,75,gpt-4o-mini,
242,1576,Conservative,40,Female,is-not-biased,85,gpt-4o-mini,
95,1387,Independent,32,Male,is-not-biased,85,gpt-4o-mini,
230,1388,Conservative,70,Male,is-not-biased,85,gpt-4o-mini,
152,821,Liberal,27,Male,is-biased,85,gpt-4o-mini,
74,1514,Liberal,31,Female,is-not-biased,85,gpt-4o-mini,
210,317,Conservative,18,Female,is-not-biased,85,gpt-4o-mini,
79,1577,Conservative,25,Male,is-not-biased,85,gpt-4o-mini,
19,1955,Conservative,75,Female,is-not-biased,85,gpt-4o-mini,
226,318,Conservative,26,Female,is-not-biased,85,gpt-4o-mini,
265,822,Conservative,41,Female,is-biased,85,gpt-4o-mini,
174,1389,Conservative,35,Male,is-biased,75,gpt-4o-mini,
267,1578,Liberal,33,Male,is-not-biased,85,gpt-4o-mini,
132,1515,Conservative,26,Female,is-biased,75,gpt-4o-mini,
112,1956,Independent,30,Male,is-not-biased,85,gpt-4o-mini,
159,823,Independent,30,Male,is-biased,75,gpt-4o-mini,
261,319,Liberal,24,Female,is-not-biased,85,gpt-4o-mini,
278,1390,Independent,45,Female,is-biased,75,gpt-4o-mini,
133,1516,Independent,40,Male,is-not-biased,85,gpt-4o-mini,
51,1957,Conservative,35,Male,is-biased,75,gpt-4o-mini,
34,1579,Liberal,40,Female,is-not-biased,85,gpt-4o-mini,
184,824,Conservative,25,Female,is-not-biased,85,gpt-4o-mini,
102,320,Independent,19,Female,is-not-biased,85,gpt-4o-mini,
162,1391,Liberal,70,Female,is-not-biased,85,gpt-4o-mini,
236,1517,Conservative,31,Male,is-not-biased,85,gpt-4o-mini,
200,1580,Liberal,29,Female,is-not-biased,85,gpt-4o-mini,
276,1958,Independent,65,Female,is-not-biased,85,gpt-4o-mini,
115,1948,Liberal,33,Male,is-not-biased,85,gpt-4o-mini,
100,825,Liberal,59,Female,is-not-biased,85,gpt-4o-mini,
0,321,Conservative,33,Male,is-not-biased,85,gpt-4o-mini,
208,1518,Conservative,48,Male,is-not-biased,85,gpt-4o-mini,
121,1392,Conservative,45,Male,is-not-biased,85,gpt-4o-mini,
213,1581,Independent,32,Male,is-not-biased,85,gpt-4o-mini,
45,1959,Liberal,69,Male,is-not-biased,85,gpt-4o-mini,
7,826,Liberal,26,Male,is-not-biased,85,gpt-4o-mini,
184,1582,Conservative,36,Female,is-not-biased,85,gpt-4o-mini,
136,1519,Conservative,25,Female,is-not-biased,85,gpt-4o-mini,
67,1393,Liberal,57,Male,is-not-biased,85,gpt-4o-mini,
113,1954,Conservative,29,Male,is-biased,75,gpt-4o-mini,
110,1960,Independent,63,Female,is-not-biased,85,gpt-4o-mini,
145,827,Conservative,41,Female,is-biased,85,gpt-4o-mini,
89,1394,Liberal,26,Female,is-not-biased,85,gpt-4o-mini,
121,323,Other,30,Female,is-not-biased,85,gpt-4o-mini,
14,1520,Liberal,44,Male,is-not-biased,85,gpt-4o-mini,
119,322,Conservative,30,Female,is-biased,75,gpt-4o-mini,
69,1583,Liberal,58,Female,is-not-biased,85,gpt-4o-mini,
42,324,Liberal,34,Male,is-not-biased,85,gpt-4o-mini,
113,1961,Liberal,31,Female,is-not-biased,85,gpt-4o-mini,
136,1521,Independent,29,Female,is-not-biased,85,gpt-4o-mini,
131,1395,Conservative,25,Male,is-biased,85,gpt-4o-mini,
214,1584,Conservative,56,Male,is-biased,85,gpt-4o-mini,
191,828,Conservative,42,Female,is-not-biased,85,gpt-4o-mini,
165,325,Conservative,48,Male,is-biased,75,gpt-4o-mini,
2,1396,Conservative,30,Male,is-not-biased,80,gpt-4o-mini,
211,1962,Independent,35,Female,is-not-biased,85,gpt-4o-mini,
76,829,Conservative,35,Male,is-biased,75,gpt-4o-mini,
129,1522,Liberal,68,Male,is-not-biased,85,gpt-4o-mini,
230,1,Liberal,39,Female,is-not-biased,85,gpt-4o-mini,
59,1963,Conservative,44,Male,is-biased,75,gpt-4o-mini,
118,326,Conservative,35,Male,is-biased,75,gpt-4o-mini,
254,830,Liberal,32,Female,is-biased,75,gpt-4o-mini,
41,1397,default,24,Male,is-not-biased,85,gpt-4o-mini,
76,1585,Conservative,25,Female,is-not-biased,85,gpt-4o-mini,
133,1523,Conservative,45,Male,is-biased,75,gpt-4o-mini,
125,1586,Liberal,39,Male,is-not-biased,85,gpt-4o-mini,
115,1964,Liberal,62,Male,is-not-biased,85,gpt-4o-mini,
98,3,Conservative,38,Female,is-not-biased,85,gpt-4o-mini,
173,327,Liberal,72,Female,is-not-biased,85,gpt-4o-mini,
90,831,Liberal,52,Female,is-biased,85,gpt-4o-mini,
211,1398,Conservative,34,Male,is-not-biased,85,gpt-4o-mini,
184,1587,Liberal,33,Male,is-not-biased,85,gpt-4o-mini,
132,1524,Liberal,31,Female,is-not-biased,85,gpt-4o-mini,
101,328,Conservative,69,Male,is-not-biased,75,gpt-4o-mini,
112,1965,Conservative,35,Female,is-not-biased,85,gpt-4o-mini,
105,832,Conservative,28,Male,is-not-biased,85,gpt-4o-mini,
239,1399,Liberal,60,Female,is-biased,75,gpt-4o-mini,
221,1588,Liberal,21,Female,is-not-biased,85,gpt-4o-mini,
130,1525,Independent,22,Male,is-not-biased,85,gpt-4o-mini,
27,1966,Independent,67,Male,is-not-biased,85,gpt-4o-mini,
284,2,Liberal,48,Female,is-biased,85,gpt-4o-mini,
271,329,Liberal,46,Male,is-not-biased,85,gpt-4o-mini,
286,833,Independent,39,Female,is-not-biased,85,gpt-4o-mini,
80,1526,Independent,25,Female,is-not-biased,75,gpt-4o-mini,
125,1400,Conservative,24,Male,is-not-biased,85,gpt-4o-mini,
242,330,Liberal,19,Female,is-biased,75,gpt-4o-mini,
255,4,Independent,39,Male,is-not-biased,85,gpt-4o-mini,
13,1967,Liberal,20,Female,is-not-biased,85,gpt-4o-mini,
194,1401,Independent,22,Female,is-not-biased,85,gpt-4o-mini,
3,1590,Conservative,45,Male,is-not-biased,85,gpt-4o-mini,
137,1527,Liberal,50,Female,is-not-biased,85,gpt-4o-mini,
180,834,Liberal,27,Male,is-not-biased,85,gpt-4o-mini,
227,835,Conservative,25,Female,is-not-biased,85,gpt-4o-mini,
133,331,Liberal,40,Female,is-not-biased,85,gpt-4o-mini,
2,1402,Conservative,26,Male,is-not-biased,85,gpt-4o-mini,
111,1968,Conservative,25,Male,is-not-biased,75,gpt-4o-mini,
260,1589,Liberal,52,Female,is-not-biased,85,gpt-4o-mini,
133,1528,Conservative,32,Male,is-biased,75,gpt-4o-mini,
262,5,Other,33,Male,is-not-biased,85,gpt-4o-mini,
123,1591,Liberal,35,Male,is-not-biased,85,gpt-4o-mini,
239,332,Liberal,54,Male,is-biased,75,gpt-4o-mini,
180,6,Conservative,30,Female,is-not-biased,85,gpt-4o-mini,
59,1969,Liberal,36,Female,is-not-biased,85,gpt-4o-mini,
14,1529,Conservative,44,Male,is-not-biased,75,gpt-4o-mini,
109,836,Conservative,55,Female,is-biased,75,gpt-4o-mini,
2,1970,Conservative,35,Male,is-not-biased,85,gpt-4o-mini,
125,1592,Conservative,41,Male,is-not-biased,85,gpt-4o-mini,
97,1404,Liberal,51,Male,is-not-biased,85,gpt-4o-mini,
3,333,Liberal,35,Female,is-not-biased,85,gpt-4o-mini,
136,7,Liberal,42,Female,is-not-biased,85,gpt-4o-mini,
157,1403,Conservative,54,Female,is-biased,75,gpt-4o-mini,
260,837,Independent,39,Male,is-not-biased,85,gpt-4o-mini,
262,1530,Independent,51,Male,is-not-biased,85,gpt-4o-mini,
260,1593,Liberal,41,Male,is-not-biased,85,gpt-4o-mini,
116,1971,Liberal,34,Female,is-biased,75,gpt-4o-mini,
157,1405,Conservative,64,Female,is-biased,75,gpt-4o-mini,
205,334,Liberal,28,Female,is-not-biased,85,gpt-4o-mini,
171,8,Liberal,49,Male,is-not-biased,85,gpt-4o-mini,
72,838,Liberal,38,Male,is-not-biased,85,gpt-4o-mini,
111,1972,Liberal,48,Female,is-biased,85,gpt-4o-mini,
236,1531,Independent,30,Female,is-not-biased,85,gpt-4o-mini,
279,9,Conservative,31,Male,is-biased,75,gpt-4o-mini,
136,839,Liberal,45,Male,is-not-biased,85,gpt-4o-mini,
22,335,Conservative,35,Male,is-not-biased,85,gpt-4o-mini,
127,1594,Independent,28,Male,is-not-biased,85,gpt-4o-mini,
133,1532,Independent,25,Female,is-not-biased,85,gpt-4o-mini,
281,1595,Conservative,54,Male,is-not-biased,85,gpt-4o-mini,
115,1973,Independent,28,Male,is-not-biased,85,gpt-4o-mini,
261,840,Liberal,31,Male,is-not-biased,85,gpt-4o-mini,
227,10,Liberal,37,Male,is-not-biased,85,gpt-4o-mini,
237,1406,Liberal,64,Female,is-biased,75,gpt-4o-mini,
2,336,Liberal,34,Female,is-not-biased,85,gpt-4o-mini,
129,1533,Conservative,51,Female,is-not-biased,85,gpt-4o-mini,
169,1407,Conservative,47,Male,is-not-biased,85,gpt-4o-mini,
45,1974,Independent,30,Male,is-not-biased,85,gpt-4o-mini,
289,1596,Conservative,52,Male,is-not-biased,85,gpt-4o-mini,
57,11,Independent,36,Female,is-not-biased,85,gpt-4o-mini,
174,841,Conservative,34,Male,is-not-biased,85,gpt-4o-mini,
72,1597,Conservative,30,Female,is-biased,75,gpt-4o-mini,
241,337,Conservative,53,Male,is-not-biased,85,gpt-4o-mini,
208,1534,Conservative,25,Male,is-not-biased,85,gpt-4o-mini,
101,1408,Independent,25,Male,is-not-biased,85,gpt-4o-mini,
210,12,Liberal,55,Female,is-not-biased,85,gpt-4o-mini,
193,1409,Independent,22,Male,is-not-biased,85,gpt-4o-mini,
112,1975,Liberal,28,Male,is-not-biased,85,gpt-4o-mini,
175,842,Independent,37,Male,is-not-biased,85,gpt-4o-mini,
36,338,Conservative,50,Male,is-not-biased,85,gpt-4o-mini,
263,1598,Liberal,46,Male,is-not-biased,85,gpt-4o-mini,
129,1535,Liberal,55,Male,is-not-biased,85,gpt-4o-mini,
57,1976,Independent,21,Female,is-not-biased,85,gpt-4o-mini,
98,13,Independent,43,Male,is-not-biased,85,gpt-4o-mini,
75,339,Independent,66,Female,is-not-biased,85,gpt-4o-mini,
