article_id,index,source,age,gender,llm_assessment,llm_confidence,llm_model,llm_error
284,1246,FOX,52,Female,is-biased,80,llama4:scout,
101,365,BBC,47,Male,is-not-biased,80,llama4:scout,
265,2002,FOX,36,Male,is-biased,80,llama4:scout,
106,743,BBC,28,Female,is-not-biased,80,llama4:scout,
113,1247,CNN,34,Male,is-biased,70,llama4:scout,
50,2003,BBC,25,Female,is-biased,80,llama4:scout,
40,366,BBC,26,Female,is-biased,60,llama4:scout,
82,744,BBC,50,Male,is-not-biased,80,llama4:scout,
193,2004,FOX,31,Male,is-not-biased,80,llama4:scout,
157,1248,CNN,68,Male,is-biased,60,llama4:scout,
220,367,FOX,28,Male,is-not-biased,80,llama4:scout,
230,745,FOX,30,Female,is-not-biased,100,llama4:scout,
284,1249,FOX,48,Female,is-biased,80,llama4:scout,
215,2005,FOX,37,Female,is-not-biased,80,llama4:scout,
97,368,BBC,27,Male,is-not-biased,80,llama4:scout,
265,746,FOX,25,Male,is-biased,80,llama4:scout,
192,369,FOX,25,Male,is-not-biased,80,llama4:scout,
276,2006,FOX,25,Female,is-not-biased,80,llama4:scout,
172,747,CNN,30,Female,is-not-biased,90,llama4:scout,
178,1251,FOX,26,Male,is-not-biased,80,llama4:scout,
20,1250,BBC,33,Female,is-biased,60,llama4:scout,
41,2007,BBC,40,Male,is-not-biased,80,llama4:scout,
263,370,FOX,48,Female,is-not-biased,80,llama4:scout,
208,1252,FOX,32,Male,is-not-biased,80,llama4:scout,
287,748,FOX,51,Male,is-not-biased,80,llama4:scout,
193,2008,FOX,36,Female,is-not-biased,80,llama4:scout,
2,371,BBC,30,Male,is-not-biased,80,llama4:scout,
182,1253,FOX,35,Female,is-not-biased,80,llama4:scout,
121,749,CNN,62,Female,is-not-biased,80,llama4:scout,
91,372,BBC,28,Female,is-not-biased,100,llama4:scout,
113,2009,CNN,56,Male,is-biased,70,llama4:scout,
161,750,CNN,47,Male,is-not-biased,80,llama4:scout,
193,2010,FOX,59,Male,is-not-biased,80,llama4:scout,
241,1254,FOX,67,Male,is-not-biased,80,llama4:scout,
153,373,CNN,54,Male,is-not-biased,80,llama4:scout,
63,374,BBC,55,Male,is-not-biased,80,llama4:scout,
48,2011,BBC,38,Male,is-not-biased,80,llama4:scout,
121,1255,CNN,25,Male,is-not-biased,80,llama4:scout,
285,751,FOX,43,Male,is-biased,70,llama4:scout,
212,2012,FOX,40,Male,is-not-biased,80,llama4:scout,
241,752,FOX,33,Male,is-not-biased,80,llama4:scout,
143,1256,CNN,30,Male,is-biased,70,llama4:scout,
287,753,FOX,28,Male,is-not-biased,80,llama4:scout,
125,375,CNN,25,Male,is-biased,70,llama4:scout,
68,1257,BBC,55,Male,is-not-biased,80,llama4:scout,
110,2013,CNN,55,Male,is-biased,70,llama4:scout,
248,754,FOX,36,Male,is-biased,70,llama4:scout,
9,376,BBC,30,Female,is-not-biased,80,llama4:scout,
233,1258,FOX,25,Male,is-not-biased,80,llama4:scout,
268,2014,FOX,37,Male,is-biased,80,llama4:scout,
230,377,FOX,70,Male,is-not-biased,100,llama4:scout,
123,1259,CNN,45,Female,is-not-biased,80,llama4:scout,
162,755,CNN,69,Female,is-not-biased,80,llama4:scout,
265,2015,FOX,42,Male,is-biased,80,llama4:scout,
162,378,CNN,30,Male,is-not-biased,80,llama4:scout,
65,1260,BBC,29,Female,is-biased,80,llama4:scout,
95,756,BBC,27,Female,is-not-biased,80,llama4:scout,
259,2016,FOX,34,Male,is-biased,80,llama4:scout,
65,379,BBC,52,Male,is-biased,80,llama4:scout,
193,1261,FOX,45,Male,is-not-biased,80,llama4:scout,
159,757,CNN,54,Male,is-not-biased,80,llama4:scout,
212,2017,FOX,53,Female,is-biased,70,llama4:scout,
78,380,BBC,36,Male,is-not-biased,80,llama4:scout,
155,1262,CNN,34,Male,is-not-biased,100,llama4:scout,
152,758,CNN,39,Male,is-biased,80,llama4:scout,
61,2018,BBC,29,Female,is-biased,70,llama4:scout,
199,759,FOX,33,Male,is-not-biased,80,llama4:scout,
88,381,BBC,33,Male,is-biased,70,llama4:scout,
50,2019,BBC,35,Male,is-biased,80,llama4:scout,
115,1263,CNN,45,Male,is-not-biased,90,llama4:scout,
198,382,FOX,36,Male,is-not-biased,90,llama4:scout,
75,1264,BBC,32,Male,is-not-biased,90,llama4:scout,
27,760,BBC,34,Female,is-not-biased,80,llama4:scout,
238,2020,FOX,64,Female,is-not-biased,100,llama4:scout,
288,761,FOX,33,Female,is-biased,80,llama4:scout,
50,2021,BBC,47,Male,is-biased,80,llama4:scout,
167,1265,CNN,61,Female,is-not-biased,80,llama4:scout,
112,383,CNN,60,Female,is-biased,70,llama4:scout,
187,762,FOX,34,Female,is-not-biased,90,llama4:scout,
131,384,CNN,34,Male,is-biased,80,llama4:scout,
147,1266,CNN,35,Female,is-not-biased,80,llama4:scout,
52,2022,BBC,46,Female,is-not-biased,80,llama4:scout,
252,763,FOX,41,Male,is-not-biased,80,llama4:scout,
264,1267,FOX,44,Male,is-not-biased,80,llama4:scout,
133,385,CNN,35,Male,is-biased,70,llama4:scout,
268,2023,FOX,36,Male,is-biased,80,llama4:scout,
274,764,FOX,25,Male,is-biased,80,llama4:scout,
116,386,CNN,43,Male,is-biased,70,llama4:scout,
224,1268,FOX,35,Male,is-not-biased,80,llama4:scout,
59,2024,BBC,30,Female,is-not-biased,80,llama4:scout,
159,765,CNN,33,Male,is-not-biased,80,llama4:scout,
77,1269,BBC,28,Male,is-not-biased,100,llama4:scout,
11,387,BBC,26,Female,is-not-biased,90,llama4:scout,
114,2025,CNN,26,Female,is-not-biased,90,llama4:scout,
123,766,CNN,45,Male,is-not-biased,80,llama4:scout,
74,388,BBC,40,Female,is-not-biased,80,llama4:scout,
270,1270,FOX,50,Male,is-not-biased,80,llama4:scout,
61,2026,BBC,35,Male,is-biased,70,llama4:scout,
29,389,BBC,24,Male,is-biased,80,llama4:scout,
145,1271,CNN,37,Female,is-biased,80,llama4:scout,
150,767,CNN,44,Female,is-biased,80,llama4:scout,
193,2027,FOX,44,Male,is-not-biased,80,llama4:scout,
248,768,FOX,40,Female,is-biased,70,llama4:scout,
266,390,FOX,30,Male,is-not-biased,80,llama4:scout,
139,391,CNN,43,Female,is-biased,70,llama4:scout,
157,1272,CNN,36,Male,is-biased,60,llama4:scout,
113,2028,CNN,25,Female,is-biased,70,llama4:scout,
60,2029,BBC,67,Female,is-not-biased,80,llama4:scout,
162,1273,CNN,32,Female,is-not-biased,80,llama4:scout,
113,769,CNN,38,Male,is-biased,70,llama4:scout,
184,392,FOX,37,Female,is-not-biased,80,llama4:scout,
52,2030,BBC,26,Female,is-not-biased,80,llama4:scout,
165,1274,CNN,28,Female,is-not-biased,80,llama4:scout,
142,770,CNN,25,Male,is-biased,60,llama4:scout,
121,393,CNN,21,Female,is-not-biased,80,llama4:scout,
136,1275,CNN,49,Male,is-not-biased,80,llama4:scout,
157,771,CNN,33,Male,is-biased,60,llama4:scout,
116,2031,CNN,32,Male,is-biased,70,llama4:scout,
39,457,BBC,42,Female,is-not-biased,80,llama4:scout,
167,583,CNN,23,Female,is-not-biased,80,llama4:scout,
16,2032,BBC,26,Male,is-not-biased,90,llama4:scout,
74,458,BBC,52,Female,is-not-biased,80,llama4:scout,
8,584,BBC,32,Male,is-not-biased,80,llama4:scout,
211,2033,FOX,30,Female,is-biased,70,llama4:scout,
223,459,FOX,41,Male,is-not-biased,80,llama4:scout,
160,585,CNN,90,Female,is-not-biased,80,llama4:scout,
111,2034,CNN,25,Female,is-biased,80,llama4:scout,
99,460,BBC,25,Male,is-not-biased,100,llama4:scout,
20,586,BBC,24,Male,is-biased,60,llama4:scout,
162,461,CNN,50,Female,is-not-biased,80,llama4:scout,
111,587,CNN,27,Female,is-biased,80,llama4:scout,
110,2035,CNN,70,Female,is-biased,80,llama4:scout,
215,2036,FOX,23,Male,is-not-biased,80,llama4:scout,
234,462,FOX,28,Male,is-not-biased,80,llama4:scout,
138,588,CNN,32,Female,is-not-biased,80,llama4:scout,
57,2037,BBC,65,Female,is-not-biased,90,llama4:scout,
76,463,BBC,46,Female,is-not-biased,90,llama4:scout,
277,589,FOX,44,Female,is-not-biased,90,llama4:scout,
144,464,CNN,31,Male,is-not-biased,80,llama4:scout,
125,590,CNN,42,Male,is-biased,70,llama4:scout,
50,2039,BBC,30,Female,is-biased,80,llama4:scout,
183,465,FOX,40,Male,is-not-biased,80,llama4:scout,
51,2038,BBC,67,Female,is-biased,70,llama4:scout,
71,591,BBC,26,Male,is-biased,70,llama4:scout,
16,2040,BBC,41,Female,is-not-biased,90,llama4:scout,
24,466,BBC,24,Female,is-not-biased,100,llama4:scout,
114,2041,CNN,36,Male,is-not-biased,80,llama4:scout,
150,592,CNN,37,Female,is-biased,80,llama4:scout,
81,467,BBC,38,Female,is-not-biased,90,llama4:scout,
211,593,FOX,40,Male,is-biased,70,llama4:scout,
97,468,BBC,42,Male,is-not-biased,80,llama4:scout,
110,2042,CNN,54,Male,is-biased,70,llama4:scout,
233,594,FOX,34,Male,is-not-biased,80,llama4:scout,
16,2043,BBC,29,Female,is-not-biased,90,llama4:scout,
182,595,FOX,22,Male,is-not-biased,80,llama4:scout,
279,469,FOX,35,Male,is-biased,70,llama4:scout,
115,2044,CNN,44,Female,is-not-biased,90,llama4:scout,
102,470,BBC,37,Male,is-not-biased,80,llama4:scout,
245,2045,FOX,33,Female,is-biased,80,llama4:scout,
277,597,FOX,48,Female,is-not-biased,90,llama4:scout,
165,471,CNN,39,Male,is-not-biased,80,llama4:scout,
25,596,BBC,48,Female,is-not-biased,80,llama4:scout,
114,2046,CNN,20,Female,is-not-biased,90,llama4:scout,
222,472,FOX,25,Male,is-not-biased,90,llama4:scout,
192,598,FOX,29,Female,is-not-biased,80,llama4:scout,
195,2047,FOX,21,Female,is-not-biased,80,llama4:scout,
67,473,BBC,25,Male,is-not-biased,80,llama4:scout,
232,474,FOX,25,Female,is-not-biased,80,llama4:scout,
281,600,FOX,38,Female,is-not-biased,90,llama4:scout,
12,2048,BBC,36,Male,is-not-biased,90,llama4:scout,
177,599,FOX,26,Female,is-biased,70,llama4:scout,
62,2049,BBC,30,Male,is-not-biased,80,llama4:scout,
50,601,BBC,40,Female,is-biased,80,llama4:scout,
192,2050,FOX,47,Male,is-not-biased,80,llama4:scout,
156,475,CNN,40,Male,is-not-biased,80,llama4:scout,
54,2051,BBC,31,Female,is-not-biased,80,llama4:scout,
228,602,FOX,26,Male,is-biased,70,llama4:scout,
177,476,FOX,27,Female,is-biased,70,llama4:scout,
136,477,CNN,41,Female,is-not-biased,80,llama4:scout,
246,603,FOX,32,Female,is-not-biased,80,llama4:scout,
114,2052,CNN,54,Female,is-not-biased,90,llama4:scout,
230,478,FOX,27,Female,is-not-biased,100,llama4:scout,
34,479,BBC,51,Female,is-not-biased,80,llama4:scout,
112,2053,CNN,27,Female,is-biased,70,llama4:scout,
132,604,CNN,53,Female,is-biased,60,llama4:scout,
208,605,FOX,29,Female,is-not-biased,80,llama4:scout,
154,480,CNN,40,Female,is-not-biased,90,llama4:scout,
211,2054,FOX,35,Male,is-biased,70,llama4:scout,
22,606,BBC,30,Male,is-not-biased,80,llama4:scout,
265,2055,FOX,52,Female,is-biased,80,llama4:scout,
227,481,FOX,35,Male,is-not-biased,80,llama4:scout,
152,607,CNN,60,Female,is-biased,80,llama4:scout,
193,2056,FOX,24,Female,is-not-biased,80,llama4:scout,
288,482,FOX,53,Male,is-biased,80,llama4:scout,
205,608,FOX,68,Female,is-not-biased,80,llama4:scout,
111,2057,CNN,22,Male,is-biased,80,llama4:scout,
180,609,FOX,31,Male,is-not-biased,80,llama4:scout,
41,483,BBC,31,Male,is-not-biased,80,llama4:scout,
116,2058,CNN,26,Female,is-biased,70,llama4:scout,
245,2059,FOX,31,Female,is-biased,80,llama4:scout,
147,610,CNN,30,Female,is-not-biased,80,llama4:scout,
32,484,BBC,60,Male,is-not-biased,80,llama4:scout,
130,485,CNN,37,Other,is-not-biased,80,llama4:scout,
144,611,CNN,51,Female,is-not-biased,90,llama4:scout,
28,2060,BBC,37,Female,is-not-biased,80,llama4:scout,
7,486,BBC,40,Female,is-biased,60,llama4:scout,
98,612,BBC,48,Female,is-not-biased,80,llama4:scout,
215,2061,FOX,25,Male,is-not-biased,80,llama4:scout,
144,613,CNN,40,Male,is-not-biased,90,llama4:scout,
152,487,CNN,36,Male,is-biased,80,llama4:scout,
114,2062,CNN,44,Male,is-not-biased,90,llama4:scout,
144,488,CNN,25,Female,is-not-biased,80,llama4:scout,
164,614,CNN,43,Male,is-not-biased,80,llama4:scout,
111,2063,CNN,35,Male,is-biased,80,llama4:scout,
45,489,BBC,30,Other,is-not-biased,80,llama4:scout,
86,615,BBC,30,Male,is-not-biased,90,llama4:scout,
259,2064,FOX,30,Male,is-biased,80,llama4:scout,
166,490,CNN,43,Female,is-biased,70,llama4:scout,
262,616,FOX,35,Female,is-not-biased,80,llama4:scout,
50,2065,BBC,28,Female,is-biased,80,llama4:scout,
165,491,CNN,37,Female,is-not-biased,80,llama4:scout,
211,2066,FOX,34,Male,is-biased,70,llama4:scout,
266,617,FOX,40,Female,is-not-biased,80,llama4:scout,
161,492,CNN,32,Male,is-not-biased,80,llama4:scout,
128,618,CNN,66,Male,is-not-biased,90,llama4:scout,
145,493,CNN,50,Male,is-biased,80,llama4:scout,
55,2067,BBC,33,Male,is-not-biased,100,llama4:scout,
148,619,CNN,33,Male,is-not-biased,100,llama4:scout,
60,2068,BBC,40,Female,is-not-biased,80,llama4:scout,
11,620,BBC,52,Male,is-not-biased,90,llama4:scout,
263,495,FOX,26,Male,is-not-biased,80,llama4:scout,
156,494,CNN,36,Female,is-not-biased,80,llama4:scout,
112,2069,CNN,25,Female,is-biased,70,llama4:scout,
110,2070,CNN,38,Male,is-biased,70,llama4:scout,
150,621,CNN,45,Male,is-biased,80,llama4:scout,
171,496,CNN,20,Female,is-biased,70,llama4:scout,
259,622,FOX,23,Male,is-biased,80,llama4:scout,
211,2071,FOX,28,Male,is-biased,70,llama4:scout,
139,497,CNN,40,Male,is-biased,70,llama4:scout,
105,623,BBC,31,Male,is-not-biased,80,llama4:scout,
114,2072,CNN,33,Male,is-not-biased,90,llama4:scout,
7,498,BBC,29,Female,is-biased,60,llama4:scout,
86,624,BBC,39,Male,is-not-biased,90,llama4:scout,
45,2073,BBC,70,Male,is-not-biased,80,llama4:scout,
194,625,FOX,42,Male,is-not-biased,80,llama4:scout,
31,499,BBC,40,Male,is-not-biased,80,llama4:scout,
136,500,CNN,65,Male,is-not-biased,80,llama4:scout,
116,2074,CNN,25,Female,is-biased,70,llama4:scout,
48,626,BBC,43,Female,is-not-biased,80,llama4:scout,
114,2075,CNN,31,Female,is-not-biased,90,llama4:scout,
154,501,CNN,25,Male,is-not-biased,80,llama4:scout,
76,627,BBC,32,Male,is-not-biased,90,llama4:scout,
193,2076,FOX,21,Male,is-not-biased,80,llama4:scout,
284,502,FOX,62,Female,is-biased,80,llama4:scout,
1,628,BBC,30,Female,is-not-biased,80,llama4:scout,
215,2077,FOX,76,Female,is-not-biased,80,llama4:scout,
173,503,FOX,26,Male,is-not-biased,80,llama4:scout,
93,629,BBC,30,Male,is-not-biased,80,llama4:scout,
208,504,FOX,28,Female,is-not-biased,80,llama4:scout,
193,2078,FOX,28,Male,is-not-biased,80,llama4:scout,
259,2079,FOX,31,Male,is-biased,80,llama4:scout,
105,631,BBC,43,Male,is-not-biased,80,llama4:scout,
109,505,BBC,40,Male,is-not-biased,80,llama4:scout,
112,630,CNN,49,Female,is-biased,70,llama4:scout,
37,2080,BBC,25,Female,is-not-biased,80,llama4:scout,
223,506,FOX,29,Male,is-not-biased,80,llama4:scout,
217,632,FOX,44,Male,is-biased,80,llama4:scout,
222,2081,FOX,31,Male,is-not-biased,80,llama4:scout,
225,507,FOX,30,Male,is-not-biased,90,llama4:scout,
194,633,FOX,44,Male,is-not-biased,80,llama4:scout,
61,2082,BBC,45,Male,is-biased,70,llama4:scout,
225,508,FOX,77,Female,is-not-biased,90,llama4:scout,
22,634,BBC,42,Male,is-not-biased,80,llama4:scout,
215,2083,FOX,42,Male,is-not-biased,80,llama4:scout,
197,509,FOX,32,Male,is-biased,70,llama4:scout,
159,635,CNN,26,Male,is-not-biased,80,llama4:scout,
115,2084,CNN,25,Male,is-not-biased,80,llama4:scout,
269,2085,FOX,60,Female,is-not-biased,100,llama4:scout,
74,510,BBC,34,Female,is-not-biased,80,llama4:scout,
142,636,CNN,23,Female,is-biased,70,llama4:scout,
59,511,BBC,30,Female,is-not-biased,80,llama4:scout,
278,2086,FOX,53,Female,is-biased,70,llama4:scout,
121,637,CNN,41,Male,is-not-biased,80,llama4:scout,
33,512,BBC,39,Female,is-not-biased,80,llama4:scout,
109,638,BBC,68,Female,is-not-biased,80,llama4:scout,
46,513,BBC,25,Male,is-biased,60,llama4:scout,
113,2087,CNN,41,Male,is-biased,70,llama4:scout,
112,2088,CNN,24,Female,is-biased,70,llama4:scout,
150,639,CNN,23,Male,is-biased,80,llama4:scout,
172,640,CNN,30,Female,is-not-biased,90,llama4:scout,
111,2089,CNN,54,Female,is-biased,80,llama4:scout,
156,514,CNN,30,Male,is-not-biased,80,llama4:scout,
125,641,CNN,47,Female,is-biased,60,llama4:scout,
62,2090,BBC,25,Male,is-not-biased,80,llama4:scout,
142,515,CNN,48,Male,is-biased,60,llama4:scout,
153,642,CNN,48,Male,is-not-biased,80,llama4:scout,
195,2091,FOX,34,Female,is-not-biased,80,llama4:scout,
62,517,BBC,57,Female,is-not-biased,80,llama4:scout,
177,516,FOX,40,Female,is-biased,70,llama4:scout,
172,643,CNN,37,Female,is-not-biased,90,llama4:scout,
59,2092,BBC,50,Male,is-not-biased,80,llama4:scout,
161,644,CNN,58,Male,is-not-biased,80,llama4:scout,
25,518,BBC,46,Male,is-biased,70,llama4:scout,
19,2093,BBC,46,Male,is-not-biased,90,llama4:scout,
203,645,FOX,43,Male,is-not-biased,100,llama4:scout,
136,519,CNN,41,Female,is-not-biased,80,llama4:scout,
19,2094,BBC,29,Female,is-not-biased,90,llama4:scout,
123,142,CNN,32,Female,is-not-biased,80,llama4:scout,
288,1654,FOX,32,Male,is-biased,80,llama4:scout,
119,1276,CNN,30,Male,is-not-biased,80,llama4:scout,
86,143,BBC,42,Female,is-not-biased,90,llama4:scout,
230,1277,FOX,70,Male,is-not-biased,100,llama4:scout,
34,1655,BBC,38,Female,is-not-biased,80,llama4:scout,
184,144,FOX,49,Male,is-not-biased,80,llama4:scout,
112,1278,CNN,28,Female,is-biased,70,llama4:scout,
71,1656,BBC,52,Male,is-biased,70,llama4:scout,
185,145,FOX,42,Male,is-not-biased,80,llama4:scout,
105,1279,BBC,40,Female,is-not-biased,80,llama4:scout,
127,1657,CNN,43,Female,is-not-biased,80,llama4:scout,
160,146,CNN,42,Female,is-not-biased,80,llama4:scout,
73,1658,BBC,31,Male,is-not-biased,80,llama4:scout,
11,1280,BBC,38,Male,is-not-biased,80,llama4:scout,
237,147,FOX,28,Male,is-not-biased,80,llama4:scout,
270,1281,FOX,61,Male,is-not-biased,80,llama4:scout,
141,148,CNN,27,Female,is-not-biased,80,llama4:scout,
126,1659,CNN,21,Female,is-not-biased,90,llama4:scout,
65,1282,BBC,53,Female,is-biased,80,llama4:scout,
248,1660,FOX,40,Female,is-biased,70,llama4:scout,
141,149,CNN,61,Female,is-not-biased,80,llama4:scout,
95,1283,BBC,61,Male,is-not-biased,80,llama4:scout,
43,1661,BBC,31,Female,is-not-biased,80,llama4:scout,
161,150,CNN,30,Female,is-not-biased,80,llama4:scout,
274,1284,FOX,24,Female,is-biased,80,llama4:scout,
76,1662,BBC,37,Male,is-not-biased,90,llama4:scout,
165,151,CNN,59,Female,is-not-biased,80,llama4:scout,
