Model,Model_Display,Comparison,Before_Accuracy,After_Accuracy,Delta_Accuracy,Before_Kappa,After_Kappa,Delta_Kappa,Before_Bias_Rate,After_Bias_Rate,Delta_Bias_Rate
llama3.2_3b,Llama 3.2 3B,CoT vs Direct,0.5688073394495413,0.6009174311926605,0.032110091743119185,0.07801673715468371,0.16353532680603333,0.08551858965134962,0.6100917431192661,0.5779816513761468,-0.032110091743119296
llama3.2_3b,Llama 3.2 3B,Chained CoT vs Direct,0.5688073394495413,0.6192660550458715,0.050458715596330195,0.07801673715468371,0.019295392953929458,-0.058721344200754255,0.6100917431192661,0.8807339449541285,0.27064220183486243
llama3.2_3b,Llama 3.2 3B,Chained CoT vs CoT,0.6009174311926605,0.6192660550458715,0.01834862385321101,0.16353532680603333,0.019295392953929458,-0.14423993385210387,0.5779816513761468,0.8807339449541285,0.3027522935779817
llama4_scout,Llama 4 Scout,CoT vs Direct,0.463302752293578,0.463302752293578,0.0,-0.01593244642714886,0.08652675309791558,0.10245919952506444,0.4036697247706422,0.2018348623853211,-0.2018348623853211
llama4_scout,Llama 4 Scout,Chained CoT vs Direct,0.463302752293578,0.481651376146789,0.01834862385321101,-0.01593244642714886,0.05725220053578273,0.07318464696293159,0.4036697247706422,0.3302752293577982,-0.07339449541284404
llama4_scout,Llama 4 Scout,Chained CoT vs CoT,0.463302752293578,0.481651376146789,0.01834862385321101,0.08652675309791558,0.05725220053578273,-0.02927455256213285,0.2018348623853211,0.3302752293577982,0.12844036697247707
phi4-mini,Phi4 mini,CoT vs Direct,0.42660550458715596,0.42660550458715596,0.0,-0.0531807992579425,-0.017930519237952858,0.035250280019989644,0.3486238532110092,0.28440366972477066,-0.06422018348623854
phi4-mini,Phi4 mini,Chained CoT vs Direct,0.42660550458715596,0.5871559633027523,0.16055045871559637,-0.0531807992579425,-0.05246218216929521,0.0007186170886472887,0.3486238532110092,0.8669724770642202,0.518348623853211
phi4-mini,Phi4 mini,Chained CoT vs CoT,0.42660550458715596,0.5871559633027523,0.16055045871559637,-0.017930519237952858,-0.05246218216929521,-0.034531662931342355,0.28440366972477066,0.8669724770642202,0.5825688073394495
qwen3_30b,Qwen3 30B,CoT vs Direct,0.42201834862385323,0.5,0.07798165137614677,0.06957523203035021,0.1330901130974097,0.06351488106705949,0.0871559633027523,0.23853211009174313,0.15137614678899083
qwen3_30b,Qwen3 30B,Chained CoT vs Direct,0.42201834862385323,0.6422018348623854,0.22018348623853212,0.06957523203035021,0.11224809439281613,0.042672862362465924,0.0871559633027523,0.8302752293577982,0.7431192660550459
qwen3_30b,Qwen3 30B,Chained CoT vs CoT,0.5,0.6422018348623854,0.14220183486238536,0.1330901130974097,0.11224809439281613,-0.020842018704593568,0.23853211009174313,0.8302752293577982,0.591743119266055
qwen3_4b,Qwen3 4B,CoT vs Direct,0.40825688073394495,0.4724770642201835,0.06422018348623854,0.05763688760806929,0.11029881467811775,0.052661927070048464,0.06422018348623854,0.1834862385321101,0.11926605504587157
qwen3_4b,Qwen3 4B,Chained CoT vs Direct,0.40825688073394495,0.555045871559633,0.14678899082568808,0.05763688760806929,-0.0003784653231149182,-0.058015352931184205,0.06422018348623854,0.6880733944954128,0.6238532110091743
qwen3_4b,Qwen3 4B,Chained CoT vs CoT,0.4724770642201835,0.555045871559633,0.08256880733944955,0.11029881467811775,-0.0003784653231149182,-0.11067728000123267,0.1834862385321101,0.6880733944954128,0.5045871559633027
r1-1776_latest,R1-1776,CoT vs Direct,0.5504587155963303,0.5642201834862385,0.013761467889908174,0.04972867182634999,0.10183016740393791,0.05210149557758792,0.591743119266055,0.5504587155963303,-0.041284403669724745
r1-1776_latest,R1-1776,Chained CoT vs Direct,0.5504587155963303,0.6467889908256881,0.09633027522935778,0.04972867182634999,0.07738814993954057,0.027659478113190583,0.591743119266055,0.8990825688073395,0.30733944954128445
r1-1776_latest,R1-1776,Chained CoT vs CoT,0.5642201834862385,0.6467889908256881,0.0825688073394496,0.10183016740393791,0.07738814993954057,-0.024442017464397336,0.5504587155963303,0.8990825688073395,0.3486238532110092
