article_id,index,source,politics,llm_assessment,llm_confidence,llm_model,llm_error
205,1799,FOX,Liberal,is-biased,60,llama3.2:3b,
145,288,CNN,Conservative,is-biased,80,llama3.2:3b,
94,1170,BBC,Conservative,is-biased,30,llama3.2:3b,
2,1171,BBC,Liberal,is-not-biased,90,llama3.2:3b,
50,1800,BBC,Independent,is-biased,80,llama3.2:3b,
267,289,FOX,Liberal,is-biased,80,llama3.2:3b,
265,1801,FOX,Liberal,is-biased,80,llama3.2:3b,
27,290,BBC,Conservative,is-biased,60,llama3.2:3b,
174,1172,FOX,Liberal,is-biased,80,llama3.2:3b,
30,1802,BBC,Liberal,is-not-biased,80,llama3.2:3b,
180,291,FOX,Liberal,is-not-biased,80,llama3.2:3b,
213,1173,FOX,Independent,is-biased,60,llama3.2:3b,
205,1803,FOX,Other,is-biased,60,llama3.2:3b,
139,292,CNN,Conservative,is-biased,80,llama3.2:3b,
212,1804,FOX,Independent,is-biased,30,llama3.2:3b,
230,1174,FOX,Liberal,is-not-biased,90,llama3.2:3b,
43,1175,BBC,Independent,is-not-biased,80,llama3.2:3b,
269,293,FOX,Conservative,is-not-biased,90,llama3.2:3b,
116,1805,CNN,Independent,is-biased,60,llama3.2:3b,
184,294,FOX,Liberal,is-biased,30,llama3.2:3b,
13,1176,BBC,Liberal,is-not-biased,90,llama3.2:3b,
57,1806,BBC,Independent,is-not-biased,90,llama3.2:3b,
100,295,BBC,Liberal,is-not-biased,80,llama3.2:3b,
136,1177,CNN,Liberal,is-not-biased,80,llama3.2:3b,
193,1807,FOX,Conservative,is-biased,60,llama3.2:3b,
129,1178,CNN,Liberal,is-biased,30,llama3.2:3b,
76,296,BBC,Liberal,is-not-biased,90,llama3.2:3b,
116,1808,CNN,Independent,is-biased,60,llama3.2:3b,
65,1179,BBC,Other,is-biased,60,llama3.2:3b,
73,297,BBC,Liberal,is-not-biased,80,llama3.2:3b,
47,1809,BBC,Liberal,is-not-biased,80,llama3.2:3b,
149,298,CNN,Liberal,is-not-biased,90,llama3.2:3b,
130,1180,CNN,Independent,is-biased,70,llama3.2:3b,
235,299,FOX,Liberal,is-biased,80,llama3.2:3b,
265,1810,FOX,Conservative,is-biased,80,llama3.2:3b,
101,1181,BBC,Independent,is-not-biased,80,llama3.2:3b,
16,300,BBC,Liberal,is-not-biased,90,llama3.2:3b,
118,1182,CNN,Conservative,is-biased,60,llama3.2:3b,
268,1811,FOX,Liberal,is-biased,80,llama3.2:3b,
110,1812,CNN,Conservative,is-biased,60,llama3.2:3b,
140,1183,CNN,Independent,is-biased,60,llama3.2:3b,
36,301,BBC,Liberal,is-not-biased,90,llama3.2:3b,
192,1813,FOX,Conservative,is-biased,30,llama3.2:3b,
128,302,CNN,Conservative,is-not-biased,80,llama3.2:3b,
226,1184,FOX,Liberal,is-biased,80,llama3.2:3b,
195,1814,FOX,Conservative,is-biased,80,llama3.2:3b,
263,303,FOX,Conservative,is-not-biased,80,llama3.2:3b,
158,1185,CNN,Conservative,is-not-biased,90,llama3.2:3b,
265,1815,FOX,Independent,is-biased,60,llama3.2:3b,
156,304,CNN,Liberal,is-not-biased,90,llama3.2:3b,
133,1186,CNN,Conservative,is-biased,30,llama3.2:3b,
222,1816,FOX,Conservative,is-not-biased,90,llama3.2:3b,
265,305,FOX,Liberal,is-biased,80,llama3.2:3b,
127,1187,CNN,Independent,is-not-biased,80,llama3.2:3b,
111,1817,CNN,Liberal,is-biased,80,llama3.2:3b,
227,306,FOX,Liberal,is-biased,80,llama3.2:3b,
156,1188,CNN,Conservative,is-not-biased,80,llama3.2:3b,
265,1818,FOX,Liberal,is-biased,80,llama3.2:3b,
35,307,BBC,Liberal,is-not-biased,80,llama3.2:3b,
6,1189,BBC,Liberal,is-biased,30,llama3.2:3b,
45,1819,BBC,Liberal,is-not-biased,80,llama3.2:3b,
121,308,CNN,Independent,is-not-biased,80,llama3.2:3b,
31,1190,BBC,Other,is-not-biased,90,llama3.2:3b,
115,1820,CNN,Independent,is-biased,30,llama3.2:3b,
22,309,BBC,Liberal,is-not-biased,90,llama3.2:3b,
166,1191,CNN,Conservative,is-biased,60,llama3.2:3b,
276,1821,FOX,Liberal,is-biased,80,llama3.2:3b,
129,310,CNN,Conservative,is-biased,60,llama3.2:3b,
168,1192,CNN,Independent,is-not-biased,80,llama3.2:3b,
114,1822,CNN,Conservative,is-biased,60,llama3.2:3b,
115,311,CNN,Conservative,is-biased,30,llama3.2:3b,
250,1193,FOX,Liberal,is-biased,60,llama3.2:3b,
27,1823,BBC,Liberal,is-biased,60,llama3.2:3b,
119,312,CNN,Liberal,is-not-biased,80,llama3.2:3b,
145,1194,CNN,Conservative,is-biased,80,llama3.2:3b,
115,1824,CNN,Conservative,is-biased,30,llama3.2:3b,
112,313,CNN,Independent,is-biased,60,llama3.2:3b,
16,1195,BBC,Conservative,is-not-biased,90,llama3.2:3b,
154,314,CNN,Conservative,is-biased,60,llama3.2:3b,
13,1825,BBC,Liberal,is-not-biased,90,llama3.2:3b,
114,1196,CNN,Independent,is-biased,60,llama3.2:3b,
102,315,BBC,Independent,is-biased,60,llama3.2:3b,
197,1197,FOX,Liberal,is-biased,80,llama3.2:3b,
51,1826,BBC,Independent,is-not-biased,80,llama3.2:3b,
19,316,BBC,Liberal,is-not-biased,90,llama3.2:3b,
0,1827,BBC,Conservative,is-not-biased,80,llama3.2:3b,
116,1828,CNN,Liberal,is-biased,80,llama3.2:3b,
157,1198,CNN,Liberal,is-biased,60,llama3.2:3b,
210,317,FOX,Conservative,is-biased,60,llama3.2:3b,
205,1829,FOX,Liberal,is-biased,60,llama3.2:3b,
9,1199,BBC,Conservative,is-not-biased,80,llama3.2:3b,
226,318,FOX,Conservative,is-biased,80,llama3.2:3b,
205,1830,FOX,Independent,is-biased,60,llama3.2:3b,
21,1200,BBC,Liberal,is-not-biased,80,llama3.2:3b,
261,319,FOX,Liberal,is-biased,80,llama3.2:3b,
279,1201,FOX,Liberal,is-biased,80,llama3.2:3b,
59,1831,BBC,Independent,is-not-biased,80,llama3.2:3b,
102,320,BBC,Independent,is-biased,80,llama3.2:3b,
50,1832,BBC,Liberal,is-biased,80,llama3.2:3b,
7,1202,BBC,Independent,is-not-biased,80,llama3.2:3b,
203,1203,FOX,Conservative,is-not-biased,90,llama3.2:3b,
132,54,CNN,Conservative,is-not-biased,80,llama3.2:3b,
0,321,BBC,Conservative,is-not-biased,80,llama3.2:3b,
205,1833,FOX,Independent,is-biased,60,llama3.2:3b,
119,322,CNN,Conservative,is-biased,60,llama3.2:3b,
169,1204,CNN,Liberal,is-biased,60,llama3.2:3b,
193,1834,FOX,Conservative,is-biased,60,llama3.2:3b,
54,1205,BBC,Liberal,is-not-biased,80,llama3.2:3b,
121,323,CNN,Other,is-not-biased,80,llama3.2:3b,
195,1835,FOX,Liberal,is-biased,80,llama3.2:3b,
252,1206,FOX,Liberal,is-biased,60,llama3.2:3b,
42,324,BBC,Liberal,is-not-biased,80,llama3.2:3b,
205,1836,FOX,Independent,is-biased,60,llama3.2:3b,
165,325,CNN,Conservative,is-biased,60,llama3.2:3b,
207,1207,FOX,Liberal,is-biased,20,llama3.2:3b,
115,1837,CNN,Liberal,is-biased,30,llama3.2:3b,
118,326,CNN,Conservative,is-biased,60,llama3.2:3b,
129,1208,CNN,Liberal,is-biased,60,llama3.2:3b,
173,327,FOX,Liberal,is-biased,80,llama3.2:3b,
116,1838,CNN,Liberal,is-biased,80,llama3.2:3b,
133,1209,CNN,Liberal,is-biased,30,llama3.2:3b,
115,1839,CNN,Conservative,is-biased,30,llama3.2:3b,
239,53,FOX,Liberal,is-biased,60,llama3.2:3b,
166,1210,CNN,Conservative,is-biased,60,llama3.2:3b,
101,328,BBC,Conservative,is-not-biased,80,llama3.2:3b,
271,329,FOX,Liberal,is-biased,80,llama3.2:3b,
110,1840,CNN,Independent,is-biased,60,llama3.2:3b,
74,1211,BBC,Conservative,is-biased,30,llama3.2:3b,
115,1841,CNN,Liberal,is-biased,30,llama3.2:3b,
242,330,FOX,Liberal,is-biased,60,llama3.2:3b,
203,645,FOX,Liberal,is-not-biased,90,llama3.2:3b,
195,1023,FOX,Liberal,is-biased,80,llama3.2:3b,
82,1086,BBC,Liberal,is-biased,60,llama3.2:3b,
194,1401,FOX,Independent,is-biased,60,llama3.2:3b,
193,1716,FOX,Liberal,is-biased,80,llama3.2:3b,
19,2094,BBC,Conservative,is-not-biased,90,llama3.2:3b,
133,331,CNN,Liberal,is-biased,30,llama3.2:3b,
156,646,CNN,Conservative,is-not-biased,80,llama3.2:3b,
2,1402,BBC,Conservative,is-not-biased,90,llama3.2:3b,
106,1087,BBC,Liberal,is-not-biased,90,llama3.2:3b,
151,1024,CNN,Liberal,is-not-biased,90,llama3.2:3b,
259,1717,FOX,Liberal,is-biased,60,llama3.2:3b,
195,2095,FOX,Independent,is-biased,80,llama3.2:3b,
239,332,FOX,Liberal,is-biased,60,llama3.2:3b,
58,647,BBC,Liberal,is-biased,60,llama3.2:3b,
263,1088,FOX,Liberal,is-biased,80,llama3.2:3b,
9,1025,BBC,Conservative,is-not-biased,80,llama3.2:3b,
157,1403,CNN,Conservative,is-biased,60,llama3.2:3b,
207,2096,FOX,Conservative,is-biased,80,llama3.2:3b,
110,1718,CNN,Conservative,is-biased,60,llama3.2:3b,
87,648,BBC,Liberal,is-not-biased,80,llama3.2:3b,
3,333,BBC,Liberal,is-not-biased,80,llama3.2:3b,
281,1026,FOX,Liberal,is-biased,60,llama3.2:3b,
97,1404,BBC,Liberal,is-not-biased,90,llama3.2:3b,
173,1089,FOX,Liberal,is-biased,80,llama3.2:3b,
115,1719,CNN,Independent,is-biased,30,llama3.2:3b,
114,2097,CNN,Conservative,is-biased,60,llama3.2:3b,
205,334,FOX,Liberal,is-biased,60,llama3.2:3b,
234,1090,FOX,Independent,is-biased,80,llama3.2:3b,
161,1027,CNN,Conservative,is-not-biased,80,llama3.2:3b,
157,1405,CNN,Conservative,is-biased,60,llama3.2:3b,
58,1720,BBC,Liberal,is-biased,60,llama3.2:3b,
245,2098,FOX,Conservative,is-biased,60,llama3.2:3b,
179,649,FOX,Liberal,is-biased,60,llama3.2:3b,
22,335,BBC,Conservative,is-not-biased,90,llama3.2:3b,
138,650,CNN,Liberal,is-biased,60,llama3.2:3b,
86,1028,BBC,Liberal,is-not-biased,90,llama3.2:3b,
140,1091,CNN,Conservative,is-biased,60,llama3.2:3b,
237,1406,FOX,Liberal,is-biased,60,llama3.2:3b,
278,1721,FOX,Liberal,is-biased,80,llama3.2:3b,
192,2099,FOX,Independent,is-biased,30,llama3.2:3b,
2,336,BBC,Liberal,is-not-biased,90,llama3.2:3b,
7,651,BBC,Liberal,is-not-biased,80,llama3.2:3b,
77,1029,BBC,Liberal,is-not-biased,80,llama3.2:3b,
252,1092,FOX,Conservative,is-biased,60,llama3.2:3b,
169,1407,CNN,Conservative,is-biased,60,llama3.2:3b,
269,1722,FOX,Liberal,is-not-biased,90,llama3.2:3b,
45,2100,BBC,Independent,is-not-biased,80,llama3.2:3b,
241,337,FOX,Conservative,is-biased,80,llama3.2:3b,
158,652,CNN,Independent,is-not-biased,90,llama3.2:3b,
237,1030,FOX,Liberal,is-biased,60,llama3.2:3b,
28,1093,BBC,Liberal,is-not-biased,80,llama3.2:3b,
101,1408,BBC,Independent,is-not-biased,80,llama3.2:3b,
114,1723,CNN,Independent,is-not-biased,80,llama3.2:3b,
50,2101,BBC,Conservative,is-biased,80,llama3.2:3b,
234,653,FOX,Independent,is-biased,80,llama3.2:3b,
205,1031,FOX,Liberal,is-biased,30,llama3.2:3b,
36,338,BBC,Conservative,is-not-biased,90,llama3.2:3b,
25,1094,BBC,Conservative,is-biased,60,llama3.2:3b,
193,1409,FOX,Independent,is-biased,60,llama3.2:3b,
215,1724,FOX,Liberal,is-biased,60,llama3.2:3b,
59,2102,BBC,Conservative,is-biased,60,llama3.2:3b,
75,339,BBC,Independent,is-not-biased,80,llama3.2:3b,
275,1032,FOX,Conservative,is-biased,80,llama3.2:3b,
90,654,BBC,Conservative,is-biased,80,llama3.2:3b,
86,1095,BBC,Independent,is-not-biased,90,llama3.2:3b,
262,1410,FOX,Conservative,is-biased,80,llama3.2:3b,
205,1725,FOX,Liberal,is-biased,60,llama3.2:3b,
114,2103,CNN,Conservative,is-biased,60,llama3.2:3b,
62,340,BBC,Liberal,is-biased,20,llama3.2:3b,
116,655,CNN,Conservative,is-biased,80,llama3.2:3b,
161,1096,CNN,Liberal,is-not-biased,80,llama3.2:3b,
162,1033,CNN,Liberal,is-not-biased,80,llama3.2:3b,
29,1411,BBC,Conservative,is-biased,30,llama3.2:3b,
50,1726,BBC,Liberal,is-biased,80,llama3.2:3b,
112,2104,CNN,Liberal,is-biased,60,llama3.2:3b,
136,341,CNN,Independent,is-not-biased,80,llama3.2:3b,
115,656,CNN,Independent,is-biased,30,llama3.2:3b,
145,1034,CNN,Liberal,is-not-biased,80,llama3.2:3b,
205,1097,FOX,Conservative,is-biased,60,llama3.2:3b,
95,1412,BBC,Conservative,is-not-biased,80,llama3.2:3b,
45,1727,BBC,Independent,is-not-biased,80,llama3.2:3b,
50,2105,BBC,Liberal,is-biased,80,llama3.2:3b,
73,342,BBC,Independent,is-not-biased,80,llama3.2:3b,
261,657,FOX,Conservative,is-not-biased,80,llama3.2:3b,
132,1035,CNN,Other,is-not-biased,80,llama3.2:3b,
262,1098,FOX,Conservative,is-biased,80,llama3.2:3b,
53,1728,BBC,Liberal,is-not-biased,90,llama3.2:3b,
141,1413,CNN,Conservative,is-not-biased,80,llama3.2:3b,
50,2106,BBC,Liberal,is-biased,80,llama3.2:3b,
150,343,CNN,Independent,is-not-biased,80,llama3.2:3b,
140,658,CNN,Conservative,is-biased,60,llama3.2:3b,
101,1036,BBC,Independent,is-not-biased,80,llama3.2:3b,
1,1099,BBC,Independent,is-not-biased,80,llama3.2:3b,
121,1414,CNN,Conservative,is-not-biased,80,llama3.2:3b,
28,2107,BBC,Independent,is-biased,60,llama3.2:3b,
278,1729,FOX,Conservative,is-biased,80,llama3.2:3b,
203,344,FOX,Liberal,is-not-biased,90,llama3.2:3b,
210,659,FOX,Conservative,is-biased,60,llama3.2:3b,
159,1037,CNN,Independent,is-biased,80,llama3.2:3b,
171,1100,CNN,Liberal,is-biased,60,llama3.2:3b,
192,2108,FOX,Liberal,is-biased,30,llama3.2:3b,
95,1415,BBC,Liberal,is-not-biased,90,llama3.2:3b,
215,1730,FOX,Conservative,is-not-biased,90,llama3.2:3b,
129,345,CNN,Liberal,is-biased,30,llama3.2:3b,
121,660,CNN,Conservative,is-not-biased,80,llama3.2:3b,
244,1038,FOX,Liberal,is-biased,60,llama3.2:3b,
152,1416,CNN,Liberal,is-biased,80,llama3.2:3b,
168,1101,CNN,Independent,is-not-biased,80,llama3.2:3b,
57,1731,BBC,Liberal,is-not-biased,90,llama3.2:3b,
275,346,FOX,Independent,is-biased,80,llama3.2:3b,
114,2109,CNN,Liberal,is-biased,60,llama3.2:3b,
281,661,FOX,Conservative,is-biased,60,llama3.2:3b,
119,1039,CNN,Conservative,is-not-biased,80,llama3.2:3b,
29,1102,BBC,Independent,is-biased,30,llama3.2:3b,
286,1417,FOX,Liberal,is-biased,80,llama3.2:3b,
114,1732,CNN,Liberal,is-biased,60,llama3.2:3b,
58,2110,BBC,Liberal,is-not-biased,80,llama3.2:3b,
155,347,CNN,Liberal,is-not-biased,90,llama3.2:3b,
105,662,BBC,Independent,is-not-biased,80,llama3.2:3b,
79,1040,BBC,Liberal,is-not-biased,90,llama3.2:3b,
283,1103,FOX,Liberal,is-biased,80,llama3.2:3b,
76,1418,BBC,Other,is-not-biased,90,llama3.2:3b,
278,1733,FOX,Independent,is-biased,60,llama3.2:3b,
47,2111,BBC,Independent,is-not-biased,80,llama3.2:3b,
93,348,BBC,Independent,is-not-biased,80,llama3.2:3b,
121,663,CNN,Liberal,is-not-biased,80,llama3.2:3b,
115,1041,CNN,Liberal,is-biased,30,llama3.2:3b,
59,1104,BBC,Liberal,is-not-biased,80,llama3.2:3b,
59,1419,BBC,Liberal,is-not-biased,80,llama3.2:3b,
114,1734,CNN,Conservative,is-biased,60,llama3.2:3b,
146,349,CNN,Conservative,is-not-biased,80,llama3.2:3b,
110,2112,CNN,Independent,is-biased,60,llama3.2:3b,
81,1105,BBC,Conservative,is-not-biased,90,llama3.2:3b,
247,664,FOX,Liberal,is-biased,60,llama3.2:3b,
75,1420,BBC,Conservative,is-not-biased,80,llama3.2:3b,
193,1735,FOX,Liberal,is-biased,60,llama3.2:3b,
192,2113,FOX,Liberal,is-biased,30,llama3.2:3b,
22,1042,BBC,Independent,is-not-biased,90,llama3.2:3b,
166,350,CNN,Independent,is-biased,60,llama3.2:3b,
125,665,CNN,Independent,is-not-biased,80,llama3.2:3b,
255,1106,FOX,Liberal,is-biased,80,llama3.2:3b,
157,1043,CNN,Liberal,is-biased,60,llama3.2:3b,
132,1421,CNN,Conservative,is-biased,60,llama3.2:3b,
265,1736,FOX,Conservative,is-not-biased,80,llama3.2:3b,
114,2114,CNN,Liberal,is-biased,60,llama3.2:3b,
43,351,BBC,Liberal,is-not-biased,80,llama3.2:3b,
58,666,BBC,Other,is-biased,60,llama3.2:3b,
98,1107,BBC,Conservative,is-biased,30,llama3.2:3b,
180,1044,FOX,Independent,is-not-biased,80,llama3.2:3b,
195,1422,FOX,Independent,is-biased,80,llama3.2:3b,
215,1737,FOX,Liberal,is-biased,30,llama3.2:3b,
112,2115,CNN,Independent,is-biased,60,llama3.2:3b,
195,352,FOX,Conservative,is-biased,80,llama3.2:3b,
146,667,CNN,Liberal,is-not-biased,80,llama3.2:3b,
175,1108,FOX,Liberal,is-biased,60,llama3.2:3b,
122,1045,CNN,Liberal,is-not-biased,80,llama3.2:3b,
230,1423,FOX,Liberal,is-not-biased,90,llama3.2:3b,
193,1738,FOX,Other,is-biased,60,llama3.2:3b,
193,2116,FOX,Liberal,is-biased,60,llama3.2:3b,
157,353,CNN,Independent,is-biased,60,llama3.2:3b,
258,1046,FOX,Liberal,is-biased,60,llama3.2:3b,
12,668,BBC,Conservative,is-not-biased,80,llama3.2:3b,
281,1424,FOX,Conservative,is-biased,60,llama3.2:3b,
162,1109,CNN,Liberal,is-not-biased,80,llama3.2:3b,
114,2117,CNN,Liberal,is-biased,60,llama3.2:3b,
116,1739,CNN,Liberal,is-biased,80,llama3.2:3b,
152,354,CNN,Conservative,is-biased,80,llama3.2:3b,
198,669,FOX,Liberal,is-biased,80,llama3.2:3b,
143,1047,CNN,Liberal,is-biased,80,llama3.2:3b,
233,1110,FOX,Conservative,is-biased,60,llama3.2:3b,
99,355,BBC,Liberal,is-not-biased,90,llama3.2:3b,
104,1425,BBC,Conservative,is-biased,80,llama3.2:3b,
19,1740,BBC,Conservative,is-not-biased,90,llama3.2:3b,
114,2118,CNN,Independent,is-not-biased,80,llama3.2:3b,
176,670,FOX,Liberal,is-biased,80,llama3.2:3b,
265,1048,FOX,Liberal,is-biased,80,llama3.2:3b,
164,1426,CNN,Conservative,is-not-biased,80,llama3.2:3b,
42,1111,BBC,Conservative,is-not-biased,80,llama3.2:3b,
110,2119,CNN,Independent,is-biased,60,llama3.2:3b,
230,671,FOX,Conservative,is-not-biased,90,llama3.2:3b,
13,1741,BBC,Conservative,is-not-biased,80,llama3.2:3b,
20,356,BBC,Liberal,is-not-biased,80,llama3.2:3b,
151,1049,CNN,Liberal,is-not-biased,90,llama3.2:3b,
118,1112,CNN,Conservative,is-biased,60,llama3.2:3b,
223,1427,FOX,Liberal,is-biased,80,llama3.2:3b,
205,1742,FOX,Liberal,is-biased,60,llama3.2:3b,
222,2120,FOX,Other,is-not-biased,80,llama3.2:3b,
160,357,CNN,Conservative,is-biased,80,llama3.2:3b,
140,672,CNN,Liberal,is-biased,60,llama3.2:3b,
204,1050,FOX,Conservative,is-biased,80,llama3.2:3b,
251,1113,FOX,Other,is-not-biased,80,llama3.2:3b,
148,1428,CNN,Independent,is-not-biased,90,llama3.2:3b,
116,1743,CNN,Liberal,is-biased,80,llama3.2:3b,
193,2121,FOX,Conservative,is-biased,60,llama3.2:3b,
123,358,CNN,Conservative,is-biased,60,llama3.2:3b,
97,1114,BBC,Conservative,is-not-biased,90,llama3.2:3b,
84,673,BBC,Conservative,is-not-biased,80,llama3.2:3b,
153,1051,CNN,Liberal,is-not-biased,80,llama3.2:3b,
155,1429,CNN,Conservative,is-not-biased,80,llama3.2:3b,
110,1744,CNN,Conservative,is-biased,60,llama3.2:3b,
116,359,CNN,Liberal,is-biased,80,llama3.2:3b,
51,2122,BBC,Liberal,is-not-biased,80,llama3.2:3b,
196,674,FOX,Conservative,is-biased,80,llama3.2:3b,
277,1052,FOX,Liberal,is-not-biased,90,llama3.2:3b,
75,1115,BBC,Liberal,is-not-biased,80,llama3.2:3b,
133,1430,CNN,Conservative,is-biased,30,llama3.2:3b,
193,1745,FOX,Liberal,is-biased,60,llama3.2:3b,
115,2123,CNN,Liberal,is-biased,30,llama3.2:3b,
92,1053,BBC,Conservative,is-not-biased,90,llama3.2:3b,
263,360,FOX,Conservative,is-not-biased,80,llama3.2:3b,
101,675,BBC,Liberal,is-not-biased,80,llama3.2:3b,
145,1116,CNN,Conservative,is-biased,80,llama3.2:3b,
269,1746,FOX,Independent,is-not-biased,90,llama3.2:3b,
121,1431,CNN,Liberal,is-not-biased,80,llama3.2:3b,
110,2124,CNN,Liberal,is-biased,60,llama3.2:3b,
171,361,CNN,Independent,is-biased,60,llama3.2:3b,
113,676,CNN,Liberal,is-not-biased,80,llama3.2:3b,
193,1117,FOX,Liberal,is-biased,60,llama3.2:3b,
22,1054,BBC,Independent,is-not-biased,90,llama3.2:3b,
129,1432,CNN,Conservative,is-biased,60,llama3.2:3b,
207,1747,FOX,Conservative,is-biased,80,llama3.2:3b,
193,2125,FOX,Other,is-biased,60,llama3.2:3b,
25,362,BBC,Liberal,is-biased,60,llama3.2:3b,
129,677,CNN,Liberal,is-biased,30,llama3.2:3b,
114,1433,CNN,Independent,is-biased,60,llama3.2:3b,
121,1118,CNN,Independent,is-not-biased,80,llama3.2:3b,
142,1055,CNN,Conservative,is-biased,80,llama3.2:3b,
54,1748,BBC,Liberal,is-not-biased,80,llama3.2:3b,
114,2126,CNN,Liberal,is-biased,60,llama3.2:3b,
122,363,CNN,Independent,is-not-biased,80,llama3.2:3b,
67,678,BBC,Conservative,is-biased,60,llama3.2:3b,
208,1056,FOX,Conservative,is-not-biased,80,llama3.2:3b,
98,1119,BBC,Conservative,is-biased,30,llama3.2:3b,
115,1749,CNN,Conservative,is-biased,30,llama3.2:3b,
112,1434,CNN,Conservative,is-biased,80,llama3.2:3b,
114,364,CNN,Liberal,is-biased,60,llama3.2:3b,
50,2127,BBC,Independent,is-biased,80,llama3.2:3b,
95,679,BBC,Liberal,is-not-biased,90,llama3.2:3b,
262,1057,FOX,Liberal,is-biased,80,llama3.2:3b,
263,1120,FOX,Liberal,is-biased,80,llama3.2:3b,
109,1435,BBC,Conservative,is-biased,30,llama3.2:3b,
58,1750,BBC,Independent,is-biased,60,llama3.2:3b,
101,365,BBC,Conservative,is-not-biased,80,llama3.2:3b,
