article_id,index,age,gender,source,politics,llm_assessment,llm_confidence,llm_model,llm_error
203,28,23,Female,FOX,Liberal,is-not-biased,96,gpt-5.4-mini,
115,29,44,Female,CNN,Independent,is-not-biased,92,gpt-5.4-mini,
20,30,28,Female,BBC,Liberal,is-not-biased,84,gpt-5.4-mini,
33,31,25,Female,BBC,Conservative,is-not-biased,92,gpt-5.4-mini,
100,32,57,Male,BBC,Conservative,is-not-biased,78,gpt-5.4-mini,
175,33,29,Female,FOX,Liberal,is-biased,84,gpt-5.4-mini,
168,34,29,Male,CNN,Conservative,is-biased,84,gpt-5.4-mini,
48,35,25,Female,BBC,Independent,is-not-biased,84,gpt-5.4-mini,
7,36,40,Male,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
230,37,32,Male,FOX,Liberal,is-not-biased,93,gpt-5.4-mini,
98,38,25,Female,BBC,Conservative,is-not-biased,92,gpt-5.4-mini,
152,39,55,Female,CNN,Independent,is-biased,84,gpt-5.4-mini,
262,40,32,Female,FOX,Independent,is-not-biased,84,gpt-5.4-mini,
270,41,42,Female,FOX,Conservative,is-not-biased,86,gpt-5.4-mini,
223,42,41,Female,FOX,Liberal,is-not-biased,86,gpt-5.4-mini,
208,43,50,Male,FOX,Conservative,is-not-biased,84,gpt-5.4-mini,
76,44,34,Male,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
9,45,66,Male,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
143,46,32,Male,CNN,Conservative,is-biased,86,gpt-5.4-mini,
7,47,38,Male,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
271,48,39,Female,FOX,Conservative,is-not-biased,92,gpt-5.4-mini,
133,49,36,Female,CNN,Conservative,is-biased,84,gpt-5.4-mini,
274,50,25,Female,FOX,Conservative,is-not-biased,84,gpt-5.4-mini,
123,51,29,Male,CNN,Conservative,is-not-biased,86,gpt-5.4-mini,
130,52,38,Male,CNN,Liberal,is-not-biased,84,gpt-5.4-mini,
239,53,54,Female,FOX,Liberal,is-not-biased,92,gpt-5.4-mini,
132,54,32,Male,CNN,Conservative,is-not-biased,78,gpt-5.4-mini,
136,55,35,Female,CNN,Independent,is-not-biased,92,gpt-5.4-mini,
177,56,30,Male,FOX,Conservative,is-biased,84,gpt-5.4-mini,
134,57,27,Male,CNN,Conservative,is-not-biased,84,gpt-5.4-mini,
277,58,32,Male,FOX,Conservative,is-not-biased,94,gpt-5.4-mini,
166,59,30,Male,CNN,Conservative,is-not-biased,84,gpt-5.4-mini,
106,60,26,Female,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
267,61,28,Male,FOX,Liberal,is-not-biased,96,gpt-5.4-mini,
54,62,33,Male,BBC,Conservative,is-not-biased,92,gpt-5.4-mini,
123,63,44,Male,CNN,Conservative,is-not-biased,86,gpt-5.4-mini,
43,64,54,Female,BBC,Liberal,is-not-biased,86,gpt-5.4-mini,
86,65,37,Male,BBC,Liberal,is-not-biased,94,gpt-5.4-mini,
167,66,27,Female,CNN,Liberal,is-not-biased,86,gpt-5.4-mini,
105,67,27,Female,BBC,Liberal,is-not-biased,86,gpt-5.4-mini,
101,68,53,Male,BBC,Independent,is-not-biased,92,gpt-5.4-mini,
22,69,29,Male,BBC,Conservative,is-not-biased,94,gpt-5.4-mini,
97,70,66,Female,BBC,Independent,is-not-biased,86,gpt-5.4-mini,
94,71,28,Female,BBC,Conservative,is-not-biased,92,gpt-5.4-mini,
105,72,32,Male,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
105,73,30,Male,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
25,74,39,Male,BBC,Liberal,is-not-biased,86,gpt-5.4-mini,
157,75,29,Female,CNN,Independent,is-biased,84,gpt-5.4-mini,
52,76,33,Male,BBC,Conservative,is-not-biased,86,gpt-5.4-mini,
168,77,29,Female,CNN,Conservative,is-biased,84,gpt-5.4-mini,
140,78,47,Male,CNN,Liberal,is-not-biased,86,gpt-5.4-mini,
118,79,37,Female,CNN,Liberal,is-not-biased,86,gpt-5.4-mini,
121,80,24,Male,CNN,Liberal,is-not-biased,84,gpt-5.4-mini,
225,81,54,Male,FOX,Conservative,is-not-biased,93,gpt-5.4-mini,
251,82,61,Male,FOX,Liberal,is-not-biased,96,gpt-5.4-mini,
237,83,25,Female,FOX,Liberal,is-biased,92,gpt-5.4-mini,
157,84,37,Other,CNN,Independent,is-biased,84,gpt-5.4-mini,
29,85,22,Female,BBC,Liberal,is-not-biased,92,gpt-5.4-mini,
203,86,32,Male,FOX,Liberal,is-not-biased,96,gpt-5.4-mini,
89,87,48,Female,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
168,88,30,Male,CNN,Conservative,is-biased,84,gpt-5.4-mini,
201,89,22,Female,FOX,Conservative,is-not-biased,92,gpt-5.4-mini,
104,90,32,Male,BBC,Conservative,is-biased,86,gpt-5.4-mini,
190,91,48,Female,FOX,Conservative,is-biased,78,gpt-5.4-mini,
204,92,41,Male,FOX,Liberal,is-biased,84,gpt-5.4-mini,
76,93,45,Male,BBC,Liberal,is-not-biased,92,gpt-5.4-mini,
208,94,29,Female,FOX,Conservative,is-not-biased,86,gpt-5.4-mini,
229,95,44,Male,FOX,Independent,is-not-biased,78,gpt-5.4-mini,
99,96,53,Female,BBC,Conservative,is-not-biased,96,gpt-5.4-mini,
177,97,37,Male,FOX,Liberal,is-biased,84,gpt-5.4-mini,
159,98,25,Male,CNN,Conservative,is-biased,92,gpt-5.4-mini,
221,99,44,Male,FOX,Independent,is-not-biased,86,gpt-5.4-mini,
136,100,44,Male,CNN,Liberal,is-not-biased,92,gpt-5.4-mini,
106,101,30,Female,BBC,Liberal,is-not-biased,94,gpt-5.4-mini,
157,102,59,Male,CNN,Conservative,is-biased,92,gpt-5.4-mini,
123,103,30,Male,CNN,Liberal,is-not-biased,92,gpt-5.4-mini,
2,104,47,Male,BBC,Independent,is-not-biased,96,gpt-5.4-mini,
59,105,32,Female,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
187,106,25,Female,FOX,Liberal,is-not-biased,92,gpt-5.4-mini,
69,107,32,Female,BBC,Independent,is-not-biased,89,gpt-5.4-mini,
128,108,36,Male,CNN,Conservative,is-not-biased,92,gpt-5.4-mini,
13,109,51,Male,BBC,Independent,is-not-biased,86,gpt-5.4-mini,
7,110,34,Male,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
160,111,45,Male,CNN,Conservative,is-not-biased,78,gpt-5.4-mini,
92,112,25,Male,BBC,Conservative,is-not-biased,92,gpt-5.4-mini,
208,113,25,Female,FOX,Independent,is-not-biased,84,gpt-5.4-mini,
130,114,52,Female,CNN,Liberal,is-not-biased,86,gpt-5.4-mini,
116,115,40,Male,CNN,Independent,is-not-biased,84,gpt-5.4-mini,
69,116,30,Female,BBC,Liberal,is-not-biased,92,gpt-5.4-mini,
60,117,51,Female,BBC,Liberal,is-not-biased,92,gpt-5.4-mini,
181,118,50,Male,FOX,Liberal,is-not-biased,86,gpt-5.4-mini,
163,119,25,Female,CNN,Liberal,is-not-biased,92,gpt-5.4-mini,
95,120,34,Female,BBC,Liberal,is-not-biased,84,gpt-5.4-mini,
235,121,28,Male,FOX,Conservative,is-biased,84,gpt-5.4-mini,
156,122,27,Male,CNN,Conservative,is-not-biased,84,gpt-5.4-mini,
7,123,34,Female,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
277,124,49,Female,FOX,Independent,is-not-biased,94,gpt-5.4-mini,
161,125,35,Female,CNN,Liberal,is-not-biased,86,gpt-5.4-mini,
146,126,52,Male,CNN,Liberal,is-not-biased,92,gpt-5.4-mini,
211,127,23,Male,FOX,Conservative,is-not-biased,84,gpt-5.4-mini,
197,128,22,Male,FOX,Liberal,is-biased,95,gpt-5.4-mini,
123,129,45,Male,CNN,Conservative,is-not-biased,86,gpt-5.4-mini,
119,130,52,Male,CNN,Liberal,is-not-biased,86,gpt-5.4-mini,
69,131,53,Female,BBC,Conservative,is-not-biased,86,gpt-5.4-mini,
247,132,48,Female,FOX,Conservative,is-biased,84,gpt-5.4-mini,
142,133,28,Female,CNN,Liberal,is-not-biased,84,gpt-5.4-mini,
5,134,27,Male,BBC,Conservative,is-not-biased,89,gpt-5.4-mini,
224,135,30,Female,FOX,Liberal,is-biased,84,gpt-5.4-mini,
272,136,60,Female,FOX,Liberal,is-not-biased,78,gpt-5.4-mini,
178,137,48,Female,FOX,Liberal,is-not-biased,86,gpt-5.4-mini,
181,138,43,Female,FOX,Liberal,is-not-biased,86,gpt-5.4-mini,
263,139,43,Female,FOX,Conservative,is-not-biased,84,gpt-5.4-mini,
121,140,28,Male,CNN,Independent,is-biased,84,gpt-5.4-mini,
129,141,68,Male,CNN,Independent,is-not-biased,86,gpt-5.4-mini,
123,142,32,Female,CNN,Liberal,is-not-biased,92,gpt-5.4-mini,
86,143,42,Female,BBC,Liberal,is-not-biased,94,gpt-5.4-mini,
184,144,49,Male,FOX,Liberal,is-not-biased,86,gpt-5.4-mini,
185,145,42,Male,FOX,Conservative,is-biased,84,gpt-5.4-mini,
160,146,42,Female,CNN,Liberal,is-not-biased,84,gpt-5.4-mini,
237,147,28,Male,FOX,Liberal,is-biased,86,gpt-5.4-mini,
141,148,27,Female,CNN,Conservative,is-biased,84,gpt-5.4-mini,
141,149,61,Female,CNN,Liberal,is-not-biased,92,gpt-5.4-mini,
161,150,30,Female,CNN,Liberal,is-not-biased,86,gpt-5.4-mini,
165,151,59,Female,CNN,Liberal,is-not-biased,84,gpt-5.4-mini,
179,152,40,Female,FOX,Independent,is-not-biased,78,gpt-5.4-mini,
121,153,53,Male,CNN,Liberal,is-not-biased,84,gpt-5.4-mini,
66,154,25,Male,BBC,Independent,is-not-biased,84,gpt-5.4-mini,
223,155,20,Male,FOX,Conservative,is-not-biased,86,gpt-5.4-mini,
180,156,43,Female,FOX,Conservative,is-not-biased,86,gpt-5.4-mini,
211,157,64,Male,FOX,Independent,is-not-biased,84,gpt-5.4-mini,
245,158,27,Male,FOX,Independent,is-biased,86,gpt-5.4-mini,
229,159,28,Female,FOX,Independent,is-biased,84,gpt-5.4-mini,
21,160,30,Male,BBC,Conservative,is-not-biased,86,gpt-5.4-mini,
253,161,52,Male,FOX,Liberal,is-biased,92,gpt-5.4-mini,
233,162,42,Female,FOX,Liberal,is-not-biased,84,gpt-5.4-mini,
128,163,34,Female,CNN,Independent,is-not-biased,92,gpt-5.4-mini,
202,164,32,Female,FOX,Conservative,is-biased,84,gpt-5.4-mini,
208,165,28,Female,FOX,Independent,is-not-biased,84,gpt-5.4-mini,
174,166,42,Female,FOX,Liberal,is-not-biased,84,gpt-5.4-mini,
174,167,45,Male,FOX,Independent,is-not-biased,84,gpt-5.4-mini,
175,168,55,Male,FOX,Independent,is-biased,84,gpt-5.4-mini,
271,169,32,Female,FOX,Liberal,is-not-biased,92,gpt-5.4-mini,
1,170,36,Female,BBC,Liberal,is-not-biased,86,gpt-5.4-mini,
176,171,20,Female,FOX,Liberal,is-not-biased,84,gpt-5.4-mini,
90,172,31,Female,BBC,Independent,is-biased,84,gpt-5.4-mini,
125,173,64,Female,CNN,Other,is-not-biased,86,gpt-5.4-mini,
43,174,42,Male,BBC,Independent,is-not-biased,84,gpt-5.4-mini,
86,175,47,Female,BBC,Conservative,is-not-biased,92,gpt-5.4-mini,
226,176,44,Female,FOX,Conservative,is-not-biased,84,gpt-5.4-mini,
18,177,24,Female,BBC,Independent,is-not-biased,96,gpt-5.4-mini,
171,178,48,Male,CNN,Independent,is-not-biased,84,gpt-5.4-mini,
114,179,63,Female,CNN,Liberal,is-not-biased,86,gpt-5.4-mini,
174,180,24,Male,FOX,Conservative,is-not-biased,84,gpt-5.4-mini,
210,181,31,Female,FOX,Liberal,is-not-biased,84,gpt-5.4-mini,
111,182,22,Female,CNN,Liberal,is-biased,92,gpt-5.4-mini,
10,183,35,Male,BBC,Conservative,is-not-biased,92,gpt-5.4-mini,
118,184,28,Male,CNN,Liberal,is-not-biased,86,gpt-5.4-mini,
159,185,48,Female,CNN,Liberal,is-biased,92,gpt-5.4-mini,
33,186,49,Female,BBC,Liberal,is-not-biased,94,gpt-5.4-mini,
286,187,25,Female,FOX,Conservative,is-not-biased,92,gpt-5.4-mini,
22,188,42,Female,BBC,Liberal,is-not-biased,94,gpt-5.4-mini,
136,189,60,Female,CNN,Conservative,is-not-biased,86,gpt-5.4-mini,
235,190,38,Female,FOX,Conservative,is-biased,84,gpt-5.4-mini,
252,191,30,Male,FOX,Conservative,is-biased,86,gpt-5.4-mini,
71,192,33,Female,BBC,Liberal,is-not-biased,84,gpt-5.4-mini,
182,193,47,Female,FOX,Conservative,is-biased,86,gpt-5.4-mini,
267,194,44,Female,FOX,Conservative,is-not-biased,96,gpt-5.4-mini,
87,195,45,Male,BBC,Independent,is-not-biased,86,gpt-5.4-mini,
136,196,33,Male,CNN,Conservative,is-not-biased,86,gpt-5.4-mini,
20,197,25,Female,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
111,198,40,Female,CNN,Liberal,is-biased,86,gpt-5.4-mini,
65,199,60,Female,BBC,Other,is-not-biased,92,gpt-5.4-mini,
266,200,29,Male,FOX,Liberal,is-not-biased,86,gpt-5.4-mini,
93,201,25,Male,BBC,Conservative,is-not-biased,89,gpt-5.4-mini,
140,202,26,Female,CNN,Conservative,is-not-biased,84,gpt-5.4-mini,
20,203,45,Male,BBC,Independent,is-not-biased,86,gpt-5.4-mini,
106,204,30,Female,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
242,205,34,Male,FOX,Independent,is-not-biased,84,gpt-5.4-mini,
169,206,61,Male,CNN,Conservative,is-not-biased,84,gpt-5.4-mini,
100,207,41,Male,BBC,Liberal,is-not-biased,86,gpt-5.4-mini,
7,208,34,Male,BBC,Liberal,is-not-biased,86,gpt-5.4-mini,
69,209,56,Male,BBC,Liberal,is-not-biased,92,gpt-5.4-mini,
149,210,44,Female,CNN,Liberal,is-not-biased,86,gpt-5.4-mini,
29,211,25,Female,BBC,Independent,is-not-biased,92,gpt-5.4-mini,
282,212,52,Male,FOX,Conservative,is-biased,72,gpt-5.4-mini,
169,213,35,Male,CNN,Liberal,is-not-biased,84,gpt-5.4-mini,
105,214,47,Male,BBC,Independent,is-not-biased,84,gpt-5.4-mini,
76,215,32,Male,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
154,216,47,Female,CNN,Conservative,is-not-biased,92,gpt-5.4-mini,
20,217,38,Female,BBC,Liberal,is-not-biased,86,gpt-5.4-mini,
77,218,39,Female,BBC,Liberal,is-not-biased,95,gpt-5.4-mini,
182,219,48,Female,FOX,Independent,is-biased,92,gpt-5.4-mini,
168,220,31,Male,CNN,Conservative,is-biased,84,gpt-5.4-mini,
152,221,40,Male,CNN,Independent,is-biased,92,gpt-5.4-mini,
90,222,48,Male,BBC,Liberal,is-biased,84,gpt-5.4-mini,
72,223,39,Male,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
256,224,28,Male,FOX,Liberal,is-biased,92,gpt-5.4-mini,
167,225,20,Female,CNN,Independent,is-not-biased,84,gpt-5.4-mini,
123,226,25,Male,CNN,Independent,is-not-biased,86,gpt-5.4-mini,
97,227,25,Male,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
111,228,31,Male,CNN,Conservative,is-biased,86,gpt-5.4-mini,
13,229,29,Female,BBC,Liberal,is-not-biased,89,gpt-5.4-mini,
57,230,42,Female,BBC,Liberal,is-not-biased,98,gpt-5.4-mini,
115,231,27,Female,CNN,Liberal,is-not-biased,92,gpt-5.4-mini,
165,232,36,Female,CNN,Liberal,is-not-biased,86,gpt-5.4-mini,
271,233,24,Male,FOX,Independent,is-not-biased,92,gpt-5.4-mini,
89,234,27,Male,BBC,Independent,is-not-biased,86,gpt-5.4-mini,
81,235,46,Male,BBC,Liberal,is-not-biased,96,gpt-5.4-mini,
204,236,36,Male,FOX,Other,is-biased,84,gpt-5.4-mini,
133,237,30,Female,CNN,Liberal,is-not-biased,84,gpt-5.4-mini,
116,238,52,Male,CNN,Liberal,is-not-biased,92,gpt-5.4-mini,
242,239,52,Female,FOX,Liberal,is-not-biased,84,gpt-5.4-mini,
50,240,47,Male,BBC,Independent,is-biased,84,gpt-5.4-mini,
155,241,37,Female,CNN,Liberal,is-not-biased,96,gpt-5.4-mini,
151,242,44,Male,CNN,Liberal,is-not-biased,96,gpt-5.4-mini,
160,243,47,Male,CNN,Conservative,is-not-biased,78,gpt-5.4-mini,
172,244,39,Female,CNN,Conservative,is-not-biased,93,gpt-5.4-mini,
153,245,43,Female,CNN,Liberal,is-not-biased,84,gpt-5.4-mini,
240,246,27,Female,FOX,Conservative,is-not-biased,86,gpt-5.4-mini,
243,247,25,Male,FOX,Conservative,is-not-biased,96,gpt-5.4-mini,
170,248,37,Male,CNN,Conservative,is-not-biased,93,gpt-5.4-mini,
101,249,42,Male,BBC,Conservative,is-not-biased,86,gpt-5.4-mini,
186,250,48,Male,FOX,Liberal,is-biased,86,gpt-5.4-mini,
248,251,21,Female,FOX,Liberal,is-biased,78,gpt-5.4-mini,
253,252,36,Male,FOX,Conservative,is-biased,92,gpt-5.4-mini,
246,253,24,Male,FOX,Independent,is-not-biased,84,gpt-5.4-mini,
181,254,25,Male,FOX,Liberal,is-not-biased,86,gpt-5.4-mini,
199,255,30,Male,FOX,Conservative,is-biased,84,gpt-5.4-mini,
284,256,33,Male,FOX,Conservative,is-biased,96,gpt-5.4-mini,
154,257,36,Female,CNN,Conservative,is-not-biased,92,gpt-5.4-mini,
240,258,32,Male,FOX,Conservative,is-not-biased,92,gpt-5.4-mini,
63,259,25,Female,BBC,Independent,is-not-biased,92,gpt-5.4-mini,
121,260,42,Female,CNN,Liberal,is-not-biased,84,gpt-5.4-mini,
72,261,49,Female,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
279,262,33,Male,FOX,Conservative,is-biased,84,gpt-5.4-mini,
180,263,67,Female,FOX,Conservative,is-not-biased,86,gpt-5.4-mini,
25,264,40,Female,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
58,265,23,Female,BBC,Independent,is-not-biased,84,gpt-5.4-mini,
145,266,31,Male,CNN,Conservative,is-biased,84,gpt-5.4-mini,
141,267,24,Female,CNN,Conservative,is-biased,86,gpt-5.4-mini,
59,268,41,Female,BBC,Liberal,is-not-biased,86,gpt-5.4-mini,
128,269,26,Female,CNN,Conservative,is-not-biased,92,gpt-5.4-mini,
277,270,31,Female,FOX,Other,is-not-biased,94,gpt-5.4-mini,
131,271,41,Male,CNN,Liberal,is-not-biased,84,gpt-5.4-mini,
94,272,36,Male,BBC,Liberal,is-not-biased,92,gpt-5.4-mini,
157,273,56,Male,CNN,Conservative,is-biased,86,gpt-5.4-mini,
208,274,36,Female,FOX,Liberal,is-not-biased,86,gpt-5.4-mini,
262,275,27,Male,FOX,Liberal,is-not-biased,84,gpt-5.4-mini,
92,276,29,Male,BBC,Liberal,is-not-biased,96,gpt-5.4-mini,
227,277,43,Male,FOX,Liberal,is-not-biased,86,gpt-5.4-mini,
141,278,24,Female,CNN,Liberal,is-not-biased,92,gpt-5.4-mini,
279,279,33,Male,FOX,Conservative,is-biased,84,gpt-5.4-mini,
152,280,31,Male,CNN,Liberal,is-biased,92,gpt-5.4-mini,
287,281,29,Male,FOX,Liberal,is-not-biased,84,gpt-5.4-mini,
98,282,35,Male,BBC,Liberal,is-not-biased,92,gpt-5.4-mini,
130,283,34,Male,CNN,Independent,is-not-biased,84,gpt-5.4-mini,
105,284,27,Male,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
244,285,24,Female,FOX,Independent,is-biased,78,gpt-5.4-mini,
116,286,39,Female,CNN,Liberal,is-not-biased,86,gpt-5.4-mini,
181,287,56,Female,FOX,Conservative,is-not-biased,86,gpt-5.4-mini,
145,288,23,Male,CNN,Conservative,is-biased,84,gpt-5.4-mini,
267,289,25,Male,FOX,Liberal,is-not-biased,96,gpt-5.4-mini,
27,290,44,Female,BBC,Conservative,is-not-biased,84,gpt-5.4-mini,
180,291,27,Female,FOX,Liberal,is-not-biased,84,gpt-5.4-mini,
139,292,29,Female,CNN,Conservative,is-biased,95,gpt-5.4-mini,
269,293,45,Male,FOX,Conservative,is-not-biased,96,gpt-5.4-mini,
184,294,34,Female,FOX,Liberal,is-not-biased,84,gpt-5.4-mini,
100,295,27,Female,BBC,Liberal,is-not-biased,84,gpt-5.4-mini,
76,296,22,Male,BBC,Liberal,is-not-biased,92,gpt-5.4-mini,
73,297,22,Female,BBC,Liberal,is-biased,84,gpt-5.4-mini,
149,298,51,Male,CNN,Liberal,is-not-biased,92,gpt-5.4-mini,
235,299,31,Female,FOX,Liberal,is-biased,84,gpt-5.4-mini,
16,300,33,Other,BBC,Liberal,is-not-biased,92,gpt-5.4-mini,
36,301,28,Male,BBC,Liberal,is-not-biased,95,gpt-5.4-mini,
128,302,35,Male,CNN,Conservative,is-not-biased,86,gpt-5.4-mini,
263,303,33,Male,FOX,Conservative,is-not-biased,84,gpt-5.4-mini,
156,304,28,Female,CNN,Liberal,is-not-biased,92,gpt-5.4-mini,
265,305,54,Female,FOX,Liberal,is-biased,86,gpt-5.4-mini,
227,306,27,Female,FOX,Liberal,is-not-biased,86,gpt-5.4-mini,
35,307,40,Male,BBC,Liberal,is-not-biased,84,gpt-5.4-mini,
121,308,26,Female,CNN,Independent,is-biased,84,gpt-5.4-mini,
22,309,26,Female,BBC,Liberal,is-not-biased,92,gpt-5.4-mini,
129,310,32,Male,CNN,Conservative,is-not-biased,86,gpt-5.4-mini,
115,311,62,Male,CNN,Conservative,is-not-biased,92,gpt-5.4-mini,
119,312,65,Female,CNN,Liberal,is-not-biased,86,gpt-5.4-mini,
112,313,31,Male,CNN,Independent,is-not-biased,84,gpt-5.4-mini,
154,314,43,Male,CNN,Conservative,is-not-biased,92,gpt-5.4-mini,
102,315,34,Female,BBC,Independent,is-not-biased,92,gpt-5.4-mini,
19,316,75,Male,BBC,Liberal,is-not-biased,94,gpt-5.4-mini,
210,317,18,Female,FOX,Conservative,is-not-biased,84,gpt-5.4-mini,
226,318,26,Female,FOX,Conservative,is-not-biased,92,gpt-5.4-mini,
261,319,24,Female,FOX,Liberal,is-not-biased,78,gpt-5.4-mini,
102,320,19,Female,BBC,Independent,is-not-biased,92,gpt-5.4-mini,
0,321,33,Male,BBC,Conservative,is-not-biased,86,gpt-5.4-mini,
119,322,30,Female,CNN,Conservative,is-not-biased,86,gpt-5.4-mini,
121,323,30,Female,CNN,Other,is-biased,84,gpt-5.4-mini,
42,324,34,Male,BBC,Liberal,is-not-biased,94,gpt-5.4-mini,
165,325,48,Male,CNN,Conservative,is-not-biased,84,gpt-5.4-mini,
118,326,35,Male,CNN,Conservative,is-not-biased,86,gpt-5.4-mini,
173,327,72,Female,FOX,Liberal,is-biased,92,gpt-5.4-mini,
101,328,69,Male,BBC,Conservative,is-not-biased,89,gpt-5.4-mini,
271,329,46,Male,FOX,Liberal,is-not-biased,92,gpt-5.4-mini,
242,330,19,Female,FOX,Liberal,is-biased,72,gpt-5.4-mini,
133,331,40,Female,CNN,Liberal,is-not-biased,84,gpt-5.4-mini,
239,332,54,Male,FOX,Liberal,is-not-biased,92,gpt-5.4-mini,
3,333,35,Female,BBC,Liberal,is-not-biased,92,gpt-5.4-mini,
205,334,28,Female,FOX,Liberal,is-not-biased,86,gpt-5.4-mini,
22,335,35,Male,BBC,Conservative,is-not-biased,92,gpt-5.4-mini,
2,336,34,Female,BBC,Liberal,is-not-biased,96,gpt-5.4-mini,
241,337,53,Male,FOX,Conservative,is-not-biased,86,gpt-5.4-mini,
36,338,50,Male,BBC,Conservative,is-not-biased,92,gpt-5.4-mini,
75,339,66,Female,BBC,Independent,is-not-biased,94,gpt-5.4-mini,
62,340,24,Male,BBC,Liberal,is-not-biased,89,gpt-5.4-mini,
136,341,27,Male,CNN,Independent,is-not-biased,92,gpt-5.4-mini,
73,342,25,Female,BBC,Independent,is-biased,84,gpt-5.4-mini,
150,343,32,Male,CNN,Independent,is-biased,92,gpt-5.4-mini,
203,344,34,Male,FOX,Liberal,is-not-biased,96,gpt-5.4-mini,
129,345,39,Female,CNN,Liberal,is-not-biased,92,gpt-5.4-mini,
275,346,61,Male,FOX,Independent,is-biased,86,gpt-5.4-mini,
155,347,52,Male,CNN,Liberal,is-not-biased,96,gpt-5.4-mini,
93,348,53,Female,BBC,Independent,is-not-biased,92,gpt-5.4-mini,
146,349,42,Male,CNN,Conservative,is-not-biased,92,gpt-5.4-mini,
166,350,29,Male,CNN,Independent,is-not-biased,84,gpt-5.4-mini,
43,351,58,Male,BBC,Liberal,is-not-biased,84,gpt-5.4-mini,
195,352,25,Female,FOX,Conservative,is-not-biased,86,gpt-5.4-mini,
157,353,41,Female,CNN,Independent,is-biased,84,gpt-5.4-mini,
152,354,36,Female,CNN,Conservative,is-biased,86,gpt-5.4-mini,
99,355,34,Female,BBC,Liberal,is-not-biased,98,gpt-5.4-mini,
20,356,25,Male,BBC,Liberal,is-not-biased,86,gpt-5.4-mini,
160,357,32,Male,CNN,Conservative,is-biased,78,gpt-5.4-mini,
123,358,59,Male,CNN,Conservative,is-not-biased,92,gpt-5.4-mini,
116,359,62,Male,CNN,Liberal,is-not-biased,86,gpt-5.4-mini,
263,360,26,Female,FOX,Conservative,is-not-biased,84,gpt-5.4-mini,
171,361,31,Male,CNN,Independent,is-not-biased,84,gpt-5.4-mini,
25,362,24,Male,BBC,Liberal,is-not-biased,86,gpt-5.4-mini,
