article_id,index,source,llm_assessment,llm_confidence,llm_model,llm_error
7,36,BBC,is-not-biased,86,gpt-5.4-mini,
230,37,FOX,is-not-biased,92,gpt-5.4-mini,
98,38,BBC,is-not-biased,92,gpt-5.4-mini,
152,39,CNN,is-biased,84,gpt-5.4-mini,
262,40,FOX,is-not-biased,84,gpt-5.4-mini,
270,41,FOX,is-not-biased,84,gpt-5.4-mini,
223,42,FOX,is-not-biased,86,gpt-5.4-mini,
208,43,FOX,is-not-biased,84,gpt-5.4-mini,
76,44,BBC,is-not-biased,89,gpt-5.4-mini,
9,45,BBC,is-biased,78,gpt-5.4-mini,
143,46,CNN,is-biased,84,gpt-5.4-mini,
7,47,BBC,is-not-biased,86,gpt-5.4-mini,
271,48,FOX,is-not-biased,92,gpt-5.4-mini,
133,49,CNN,is-not-biased,84,gpt-5.4-mini,
274,50,FOX,is-biased,84,gpt-5.4-mini,
123,51,CNN,is-not-biased,92,gpt-5.4-mini,
130,52,CNN,is-not-biased,84,gpt-5.4-mini,
239,53,FOX,is-not-biased,92,gpt-5.4-mini,
132,54,CNN,is-not-biased,84,gpt-5.4-mini,
136,55,CNN,is-not-biased,86,gpt-5.4-mini,
177,56,FOX,is-not-biased,72,gpt-5.4-mini,
134,57,CNN,is-not-biased,84,gpt-5.4-mini,
277,58,FOX,is-not-biased,96,gpt-5.4-mini,
166,59,CNN,is-not-biased,86,gpt-5.4-mini,
106,60,BBC,is-not-biased,89,gpt-5.4-mini,
267,61,FOX,is-not-biased,96,gpt-5.4-mini,
54,62,BBC,is-not-biased,94,gpt-5.4-mini,
123,63,CNN,is-not-biased,92,gpt-5.4-mini,
43,64,BBC,is-not-biased,84,gpt-5.4-mini,
86,65,BBC,is-not-biased,94,gpt-5.4-mini,
167,66,CNN,is-not-biased,84,gpt-5.4-mini,
105,67,BBC,is-not-biased,86,gpt-5.4-mini,
101,68,BBC,is-not-biased,93,gpt-5.4-mini,
22,69,BBC,is-not-biased,92,gpt-5.4-mini,
97,70,BBC,is-not-biased,94,gpt-5.4-mini,
94,71,BBC,is-not-biased,92,gpt-5.4-mini,
105,72,BBC,is-not-biased,86,gpt-5.4-mini,
105,73,BBC,is-not-biased,86,gpt-5.4-mini,
25,74,BBC,is-not-biased,92,gpt-5.4-mini,
157,75,CNN,is-biased,78,gpt-5.4-mini,
52,76,BBC,is-not-biased,86,gpt-5.4-mini,
168,77,CNN,is-not-biased,78,gpt-5.4-mini,
140,78,CNN,is-not-biased,86,gpt-5.4-mini,
118,79,CNN,is-not-biased,84,gpt-5.4-mini,
121,80,CNN,is-biased,84,gpt-5.4-mini,
225,81,FOX,is-not-biased,94,gpt-5.4-mini,
251,82,FOX,is-not-biased,96,gpt-5.4-mini,
237,83,FOX,is-biased,84,gpt-5.4-mini,
157,84,CNN,is-biased,84,gpt-5.4-mini,
29,85,BBC,is-not-biased,92,gpt-5.4-mini,
203,86,FOX,is-not-biased,96,gpt-5.4-mini,
89,87,BBC,is-not-biased,86,gpt-5.4-mini,
168,88,CNN,is-not-biased,78,gpt-5.4-mini,
201,89,FOX,is-not-biased,92,gpt-5.4-mini,
104,90,BBC,is-not-biased,84,gpt-5.4-mini,
190,91,FOX,is-not-biased,84,gpt-5.4-mini,
204,92,FOX,is-biased,78,gpt-5.4-mini,
76,93,BBC,is-not-biased,86,gpt-5.4-mini,
208,94,FOX,is-not-biased,78,gpt-5.4-mini,
229,95,FOX,is-biased,84,gpt-5.4-mini,
99,96,BBC,is-not-biased,98,gpt-5.4-mini,
177,97,FOX,is-not-biased,72,gpt-5.4-mini,
159,98,CNN,is-biased,92,gpt-5.4-mini,
221,99,FOX,is-not-biased,92,gpt-5.4-mini,
136,100,CNN,is-not-biased,92,gpt-5.4-mini,
106,101,BBC,is-not-biased,89,gpt-5.4-mini,
157,102,CNN,is-biased,78,gpt-5.4-mini,
123,103,CNN,is-not-biased,92,gpt-5.4-mini,
2,104,BBC,is-not-biased,95,gpt-5.4-mini,
59,105,BBC,is-not-biased,86,gpt-5.4-mini,
187,106,FOX,is-not-biased,86,gpt-5.4-mini,
69,107,BBC,is-not-biased,92,gpt-5.4-mini,
128,108,CNN,is-not-biased,92,gpt-5.4-mini,
13,109,BBC,is-not-biased,84,gpt-5.4-mini,
7,110,BBC,is-not-biased,86,gpt-5.4-mini,
160,111,CNN,is-not-biased,84,gpt-5.4-mini,
92,112,BBC,is-not-biased,96,gpt-5.4-mini,
208,113,FOX,is-not-biased,84,gpt-5.4-mini,
130,114,CNN,is-not-biased,84,gpt-5.4-mini,
116,115,CNN,is-not-biased,84,gpt-5.4-mini,
69,116,BBC,is-not-biased,86,gpt-5.4-mini,
60,117,BBC,is-not-biased,92,gpt-5.4-mini,
181,118,FOX,is-not-biased,86,gpt-5.4-mini,
163,119,CNN,is-not-biased,92,gpt-5.4-mini,
95,120,BBC,is-not-biased,86,gpt-5.4-mini,
235,121,FOX,is-biased,86,gpt-5.4-mini,
156,122,CNN,is-not-biased,86,gpt-5.4-mini,
7,123,BBC,is-not-biased,86,gpt-5.4-mini,
277,124,FOX,is-not-biased,94,gpt-5.4-mini,
161,125,CNN,is-not-biased,84,gpt-5.4-mini,
146,126,CNN,is-not-biased,92,gpt-5.4-mini,
211,127,FOX,is-not-biased,86,gpt-5.4-mini,
197,128,FOX,is-biased,92,gpt-5.4-mini,
123,129,CNN,is-not-biased,92,gpt-5.4-mini,
119,130,CNN,is-not-biased,86,gpt-5.4-mini,
69,131,BBC,is-not-biased,86,gpt-5.4-mini,
247,132,FOX,is-biased,84,gpt-5.4-mini,
142,133,CNN,is-not-biased,84,gpt-5.4-mini,
5,134,BBC,is-not-biased,92,gpt-5.4-mini,
224,135,FOX,is-biased,78,gpt-5.4-mini,
272,136,FOX,is-biased,78,gpt-5.4-mini,
178,137,FOX,is-not-biased,86,gpt-5.4-mini,
181,138,FOX,is-not-biased,86,gpt-5.4-mini,
263,139,FOX,is-not-biased,84,gpt-5.4-mini,
121,140,CNN,is-biased,84,gpt-5.4-mini,
129,141,CNN,is-not-biased,86,gpt-5.4-mini,
123,142,CNN,is-not-biased,92,gpt-5.4-mini,
86,143,BBC,is-not-biased,94,gpt-5.4-mini,
184,144,FOX,is-biased,78,gpt-5.4-mini,
185,145,FOX,is-biased,84,gpt-5.4-mini,
160,146,CNN,is-not-biased,84,gpt-5.4-mini,
237,147,FOX,is-biased,86,gpt-5.4-mini,
141,148,CNN,is-not-biased,84,gpt-5.4-mini,
141,149,CNN,is-not-biased,84,gpt-5.4-mini,
161,150,CNN,is-not-biased,84,gpt-5.4-mini,
165,151,CNN,is-not-biased,86,gpt-5.4-mini,
179,152,FOX,is-not-biased,84,gpt-5.4-mini,
121,153,CNN,is-biased,84,gpt-5.4-mini,
66,154,BBC,is-not-biased,86,gpt-5.4-mini,
223,155,FOX,is-not-biased,86,gpt-5.4-mini,
180,156,FOX,is-not-biased,86,gpt-5.4-mini,
211,157,FOX,is-not-biased,86,gpt-5.4-mini,
245,158,FOX,is-biased,86,gpt-5.4-mini,
229,159,FOX,is-biased,84,gpt-5.4-mini,
21,160,BBC,is-not-biased,92,gpt-5.4-mini,
253,161,FOX,is-biased,84,gpt-5.4-mini,
233,162,FOX,is-not-biased,84,gpt-5.4-mini,
128,163,CNN,is-not-biased,92,gpt-5.4-mini,
202,164,FOX,is-not-biased,84,gpt-5.4-mini,
208,165,FOX,is-not-biased,78,gpt-5.4-mini,
174,166,FOX,is-not-biased,84,gpt-5.4-mini,
174,167,FOX,is-not-biased,86,gpt-5.4-mini,
175,168,FOX,is-biased,78,gpt-5.4-mini,
271,169,FOX,is-not-biased,92,gpt-5.4-mini,
1,170,BBC,is-not-biased,84,gpt-5.4-mini,
176,171,FOX,is-not-biased,84,gpt-5.4-mini,
90,172,BBC,is-biased,84,gpt-5.4-mini,
125,173,CNN,is-not-biased,86,gpt-5.4-mini,
43,174,BBC,is-not-biased,84,gpt-5.4-mini,
86,175,BBC,is-not-biased,94,gpt-5.4-mini,
226,176,FOX,is-not-biased,84,gpt-5.4-mini,
18,177,BBC,is-not-biased,94,gpt-5.4-mini,
171,178,CNN,is-not-biased,84,gpt-5.4-mini,
114,179,CNN,is-not-biased,92,gpt-5.4-mini,
174,180,FOX,is-not-biased,84,gpt-5.4-mini,
210,181,FOX,is-not-biased,78,gpt-5.4-mini,
111,182,CNN,is-biased,84,gpt-5.4-mini,
10,183,BBC,is-not-biased,96,gpt-5.4-mini,
118,184,CNN,is-not-biased,84,gpt-5.4-mini,
159,185,CNN,is-biased,92,gpt-5.4-mini,
33,186,BBC,is-not-biased,92,gpt-5.4-mini,
286,187,FOX,is-not-biased,92,gpt-5.4-mini,
22,188,BBC,is-not-biased,92,gpt-5.4-mini,
136,189,CNN,is-not-biased,86,gpt-5.4-mini,
235,190,FOX,is-biased,86,gpt-5.4-mini,
252,191,FOX,is-biased,78,gpt-5.4-mini,
71,192,BBC,is-not-biased,84,gpt-5.4-mini,
182,193,FOX,is-biased,94,gpt-5.4-mini,
267,194,FOX,is-not-biased,96,gpt-5.4-mini,
87,195,BBC,is-not-biased,86,gpt-5.4-mini,
136,196,CNN,is-not-biased,92,gpt-5.4-mini,
20,197,BBC,is-not-biased,84,gpt-5.4-mini,
111,198,CNN,is-biased,84,gpt-5.4-mini,
65,199,BBC,is-not-biased,86,gpt-5.4-mini,
266,200,FOX,is-not-biased,86,gpt-5.4-mini,
93,201,BBC,is-not-biased,92,gpt-5.4-mini,
140,202,CNN,is-not-biased,86,gpt-5.4-mini,
20,203,BBC,is-not-biased,84,gpt-5.4-mini,
106,204,BBC,is-not-biased,89,gpt-5.4-mini,
242,205,FOX,is-not-biased,84,gpt-5.4-mini,
169,206,CNN,is-not-biased,84,gpt-5.4-mini,
100,207,BBC,is-not-biased,84,gpt-5.4-mini,
7,208,BBC,is-not-biased,86,gpt-5.4-mini,
69,209,BBC,is-not-biased,92,gpt-5.4-mini,
149,210,CNN,is-not-biased,92,gpt-5.4-mini,
29,211,BBC,is-not-biased,92,gpt-5.4-mini,
282,212,FOX,is-biased,72,gpt-5.4-mini,
169,213,CNN,is-not-biased,84,gpt-5.4-mini,
105,214,BBC,is-not-biased,86,gpt-5.4-mini,
76,215,BBC,is-not-biased,86,gpt-5.4-mini,
154,216,CNN,is-not-biased,92,gpt-5.4-mini,
20,217,BBC,is-not-biased,84,gpt-5.4-mini,
77,218,BBC,is-not-biased,92,gpt-5.4-mini,
182,219,FOX,is-biased,94,gpt-5.4-mini,
168,220,CNN,is-not-biased,78,gpt-5.4-mini,
152,221,CNN,is-biased,84,gpt-5.4-mini,
90,222,BBC,is-biased,84,gpt-5.4-mini,
72,223,BBC,is-not-biased,84,gpt-5.4-mini,
256,224,FOX,is-biased,92,gpt-5.4-mini,
167,225,CNN,is-not-biased,84,gpt-5.4-mini,
123,226,CNN,is-not-biased,92,gpt-5.4-mini,
97,227,BBC,is-not-biased,94,gpt-5.4-mini,
111,228,CNN,is-biased,84,gpt-5.4-mini,
13,229,BBC,is-not-biased,84,gpt-5.4-mini,
57,230,BBC,is-not-biased,98,gpt-5.4-mini,
115,231,CNN,is-not-biased,92,gpt-5.4-mini,
165,232,CNN,is-not-biased,86,gpt-5.4-mini,
271,233,FOX,is-not-biased,92,gpt-5.4-mini,
89,234,BBC,is-not-biased,86,gpt-5.4-mini,
81,235,BBC,is-not-biased,96,gpt-5.4-mini,
204,236,FOX,is-biased,78,gpt-5.4-mini,
133,237,CNN,is-not-biased,84,gpt-5.4-mini,
116,238,CNN,is-not-biased,86,gpt-5.4-mini,
242,239,FOX,is-not-biased,84,gpt-5.4-mini,
50,240,BBC,is-not-biased,84,gpt-5.4-mini,
155,241,CNN,is-not-biased,96,gpt-5.4-mini,
151,242,CNN,is-not-biased,95,gpt-5.4-mini,
160,243,CNN,is-not-biased,84,gpt-5.4-mini,
172,244,CNN,is-not-biased,94,gpt-5.4-mini,
153,245,CNN,is-not-biased,84,gpt-5.4-mini,
240,246,FOX,is-not-biased,92,gpt-5.4-mini,
243,247,FOX,is-not-biased,96,gpt-5.4-mini,
170,248,CNN,is-not-biased,95,gpt-5.4-mini,
101,249,BBC,is-not-biased,94,gpt-5.4-mini,
186,250,FOX,is-biased,86,gpt-5.4-mini,
248,251,FOX,is-not-biased,84,gpt-5.4-mini,
253,252,FOX,is-biased,84,gpt-5.4-mini,
246,253,FOX,is-not-biased,84,gpt-5.4-mini,
181,254,FOX,is-not-biased,86,gpt-5.4-mini,
199,255,FOX,is-biased,84,gpt-5.4-mini,
284,256,FOX,is-biased,92,gpt-5.4-mini,
154,257,CNN,is-not-biased,92,gpt-5.4-mini,
240,258,FOX,is-not-biased,92,gpt-5.4-mini,
63,259,BBC,is-not-biased,93,gpt-5.4-mini,
121,260,CNN,is-biased,84,gpt-5.4-mini,
72,261,BBC,is-not-biased,84,gpt-5.4-mini,
279,262,FOX,is-not-biased,78,gpt-5.4-mini,
180,263,FOX,is-not-biased,86,gpt-5.4-mini,
25,264,BBC,is-not-biased,92,gpt-5.4-mini,
58,265,BBC,is-not-biased,84,gpt-5.4-mini,
145,266,CNN,is-biased,84,gpt-5.4-mini,
141,267,CNN,is-not-biased,84,gpt-5.4-mini,
59,268,BBC,is-not-biased,86,gpt-5.4-mini,
128,269,CNN,is-not-biased,92,gpt-5.4-mini,
277,270,FOX,is-not-biased,96,gpt-5.4-mini,
131,271,CNN,is-biased,78,gpt-5.4-mini,
94,272,BBC,is-not-biased,92,gpt-5.4-mini,
157,273,CNN,is-biased,78,gpt-5.4-mini,
208,274,FOX,is-not-biased,84,gpt-5.4-mini,
262,275,FOX,is-not-biased,84,gpt-5.4-mini,
92,276,BBC,is-not-biased,96,gpt-5.4-mini,
227,277,FOX,is-not-biased,84,gpt-5.4-mini,
141,278,CNN,is-not-biased,84,gpt-5.4-mini,
279,279,FOX,is-biased,78,gpt-5.4-mini,
152,280,CNN,is-biased,84,gpt-5.4-mini,
287,281,FOX,is-not-biased,78,gpt-5.4-mini,
98,282,BBC,is-not-biased,92,gpt-5.4-mini,
130,283,CNN,is-not-biased,84,gpt-5.4-mini,
105,284,BBC,is-not-biased,86,gpt-5.4-mini,
244,285,FOX,is-not-biased,84,gpt-5.4-mini,
116,286,CNN,is-not-biased,84,gpt-5.4-mini,
181,287,FOX,is-not-biased,86,gpt-5.4-mini,
145,288,CNN,is-biased,84,gpt-5.4-mini,
267,289,FOX,is-not-biased,96,gpt-5.4-mini,
27,290,BBC,is-not-biased,86,gpt-5.4-mini,
180,291,FOX,is-not-biased,86,gpt-5.4-mini,
139,292,CNN,is-biased,92,gpt-5.4-mini,
269,293,FOX,is-not-biased,96,gpt-5.4-mini,
184,294,FOX,is-biased,84,gpt-5.4-mini,
100,295,BBC,is-not-biased,84,gpt-5.4-mini,
76,296,BBC,is-not-biased,86,gpt-5.4-mini,
73,297,BBC,is-biased,84,gpt-5.4-mini,
149,298,CNN,is-not-biased,92,gpt-5.4-mini,
235,299,FOX,is-biased,86,gpt-5.4-mini,
16,300,BBC,is-not-biased,94,gpt-5.4-mini,
36,301,BBC,is-not-biased,95,gpt-5.4-mini,
128,302,CNN,is-not-biased,94,gpt-5.4-mini,
263,303,FOX,is-not-biased,84,gpt-5.4-mini,
156,304,CNN,is-not-biased,86,gpt-5.4-mini,
265,305,FOX,is-biased,84,gpt-5.4-mini,
227,306,FOX,is-not-biased,84,gpt-5.4-mini,
35,307,BBC,is-not-biased,84,gpt-5.4-mini,
121,308,CNN,is-biased,84,gpt-5.4-mini,
22,309,BBC,is-not-biased,93,gpt-5.4-mini,
129,310,CNN,is-not-biased,86,gpt-5.4-mini,
115,311,CNN,is-not-biased,92,gpt-5.4-mini,
119,312,CNN,is-not-biased,86,gpt-5.4-mini,
112,313,CNN,is-not-biased,84,gpt-5.4-mini,
154,314,CNN,is-not-biased,92,gpt-5.4-mini,
102,315,BBC,is-not-biased,92,gpt-5.4-mini,
19,316,BBC,is-not-biased,94,gpt-5.4-mini,
210,317,FOX,is-not-biased,78,gpt-5.4-mini,
226,318,FOX,is-not-biased,84,gpt-5.4-mini,
261,319,FOX,is-not-biased,84,gpt-5.4-mini,
102,320,BBC,is-not-biased,92,gpt-5.4-mini,
0,321,BBC,is-not-biased,92,gpt-5.4-mini,
119,322,CNN,is-not-biased,86,gpt-5.4-mini,
121,323,CNN,is-biased,84,gpt-5.4-mini,
42,324,BBC,is-not-biased,94,gpt-5.4-mini,
165,325,CNN,is-not-biased,86,gpt-5.4-mini,
118,326,CNN,is-not-biased,84,gpt-5.4-mini,
173,327,FOX,is-biased,84,gpt-5.4-mini,
101,328,BBC,is-not-biased,92,gpt-5.4-mini,
271,329,FOX,is-not-biased,92,gpt-5.4-mini,
242,330,FOX,is-not-biased,84,gpt-5.4-mini,
133,331,CNN,is-not-biased,84,gpt-5.4-mini,
239,332,FOX,is-not-biased,92,gpt-5.4-mini,
3,333,BBC,is-not-biased,92,gpt-5.4-mini,
205,334,FOX,is-not-biased,86,gpt-5.4-mini,
22,335,BBC,is-not-biased,92,gpt-5.4-mini,
2,336,BBC,is-not-biased,95,gpt-5.4-mini,
241,337,FOX,is-not-biased,86,gpt-5.4-mini,
36,338,BBC,is-not-biased,96,gpt-5.4-mini,
75,339,BBC,is-not-biased,94,gpt-5.4-mini,
62,340,BBC,is-not-biased,86,gpt-5.4-mini,
136,341,CNN,is-not-biased,92,gpt-5.4-mini,
73,342,BBC,is-biased,84,gpt-5.4-mini,
150,343,CNN,is-biased,92,gpt-5.4-mini,
203,344,FOX,is-not-biased,96,gpt-5.4-mini,
129,345,CNN,is-not-biased,86,gpt-5.4-mini,
275,346,FOX,is-biased,84,gpt-5.4-mini,
155,347,CNN,is-not-biased,96,gpt-5.4-mini,
93,348,BBC,is-not-biased,92,gpt-5.4-mini,
146,349,CNN,is-not-biased,92,gpt-5.4-mini,
166,350,CNN,is-not-biased,86,gpt-5.4-mini,
43,351,BBC,is-not-biased,84,gpt-5.4-mini,
195,352,FOX,is-not-biased,86,gpt-5.4-mini,
157,353,CNN,is-biased,84,gpt-5.4-mini,
152,354,CNN,is-biased,84,gpt-5.4-mini,
99,355,BBC,is-not-biased,98,gpt-5.4-mini,
20,356,BBC,is-not-biased,84,gpt-5.4-mini,
160,357,CNN,is-not-biased,84,gpt-5.4-mini,
123,358,CNN,is-not-biased,92,gpt-5.4-mini,
116,359,CNN,is-not-biased,86,gpt-5.4-mini,
263,360,FOX,is-not-biased,84,gpt-5.4-mini,
171,361,CNN,is-not-biased,84,gpt-5.4-mini,
25,362,BBC,is-not-biased,86,gpt-5.4-mini,
122,363,CNN,is-biased,86,gpt-5.4-mini,
114,364,CNN,is-not-biased,84,gpt-5.4-mini,
101,365,BBC,is-not-biased,93,gpt-5.4-mini,
40,366,BBC,is-not-biased,84,gpt-5.4-mini,
220,367,FOX,is-not-biased,94,gpt-5.4-mini,
97,368,BBC,is-not-biased,94,gpt-5.4-mini,
192,369,FOX,is-not-biased,84,gpt-5.4-mini,
263,370,FOX,is-not-biased,84,gpt-5.4-mini,
2,371,BBC,is-not-biased,96,gpt-5.4-mini,
91,372,BBC,is-not-biased,96,gpt-5.4-mini,
153,373,CNN,is-not-biased,84,gpt-5.4-mini,
63,374,BBC,is-not-biased,93,gpt-5.4-mini,
125,375,CNN,is-not-biased,86,gpt-5.4-mini,
9,376,BBC,is-biased,78,gpt-5.4-mini,
230,377,FOX,is-not-biased,92,gpt-5.4-mini,
162,378,CNN,is-not-biased,84,gpt-5.4-mini,
65,379,BBC,is-not-biased,86,gpt-5.4-mini,
78,380,BBC,is-not-biased,92,gpt-5.4-mini,
88,381,BBC,is-not-biased,92,gpt-5.4-mini,
198,382,FOX,is-not-biased,86,gpt-5.4-mini,
112,383,CNN,is-not-biased,84,gpt-5.4-mini,
131,384,CNN,is-biased,78,gpt-5.4-mini,
133,385,CNN,is-not-biased,84,gpt-5.4-mini,
116,386,CNN,is-not-biased,84,gpt-5.4-mini,
11,387,BBC,is-not-biased,84,gpt-5.4-mini,
74,388,BBC,is-not-biased,84,gpt-5.4-mini,
29,389,BBC,is-not-biased,92,gpt-5.4-mini,
266,390,FOX,is-not-biased,84,gpt-5.4-mini,
139,391,CNN,is-biased,92,gpt-5.4-mini,
184,392,FOX,is-biased,84,gpt-5.4-mini,
121,393,CNN,is-biased,84,gpt-5.4-mini,
114,394,CNN,is-not-biased,86,gpt-5.4-mini,
135,395,CNN,is-not-biased,94,gpt-5.4-mini,
263,396,FOX,is-not-biased,84,gpt-5.4-mini,
230,397,FOX,is-not-biased,92,gpt-5.4-mini,
20,398,BBC,is-not-biased,84,gpt-5.4-mini,
23,399,BBC,is-not-biased,94,gpt-5.4-mini,
273,400,FOX,is-biased,92,gpt-5.4-mini,
280,401,FOX,is-not-biased,84,gpt-5.4-mini,
265,402,FOX,is-biased,84,gpt-5.4-mini,
206,403,FOX,is-not-biased,92,gpt-5.4-mini,
234,404,FOX,is-not-biased,86,gpt-5.4-mini,
18,405,BBC,is-not-biased,94,gpt-5.4-mini,
194,406,FOX,is-not-biased,95,gpt-5.4-mini,
132,407,CNN,is-not-biased,78,gpt-5.4-mini,
158,408,CNN,is-not-biased,84,gpt-5.4-mini,
127,409,CNN,is-not-biased,92,gpt-5.4-mini,
123,410,CNN,is-not-biased,92,gpt-5.4-mini,
175,411,FOX,is-biased,78,gpt-5.4-mini,
118,412,CNN,is-not-biased,84,gpt-5.4-mini,
151,413,CNN,is-not-biased,96,gpt-5.4-mini,
76,414,BBC,is-not-biased,86,gpt-5.4-mini,
197,415,FOX,is-biased,92,gpt-5.4-mini,
266,416,FOX,is-not-biased,86,gpt-5.4-mini,
99,417,BBC,is-not-biased,98,gpt-5.4-mini,
3,418,BBC,is-not-biased,92,gpt-5.4-mini,
144,419,CNN,is-not-biased,92,gpt-5.4-mini,
156,420,CNN,is-not-biased,86,gpt-5.4-mini,
139,421,CNN,is-biased,92,gpt-5.4-mini,
233,422,FOX,is-not-biased,84,gpt-5.4-mini,
200,423,FOX,is-not-biased,92,gpt-5.4-mini,
62,424,BBC,is-not-biased,86,gpt-5.4-mini,
146,425,CNN,is-not-biased,92,gpt-5.4-mini,
22,426,BBC,is-not-biased,92,gpt-5.4-mini,
130,427,CNN,is-not-biased,84,gpt-5.4-mini,
161,428,CNN,is-not-biased,84,gpt-5.4-mini,
134,429,CNN,is-not-biased,84,gpt-5.4-mini,
212,430,FOX,is-not-biased,86,gpt-5.4-mini,
182,431,FOX,is-biased,94,gpt-5.4-mini,
242,432,FOX,is-not-biased,84,gpt-5.4-mini,
57,433,BBC,is-not-biased,98,gpt-5.4-mini,
110,434,CNN,is-biased,84,gpt-5.4-mini,
151,435,CNN,is-not-biased,96,gpt-5.4-mini,
203,436,FOX,is-not-biased,96,gpt-5.4-mini,
22,437,BBC,is-not-biased,92,gpt-5.4-mini,
245,438,FOX,is-biased,84,gpt-5.4-mini,
101,439,BBC,is-not-biased,94,gpt-5.4-mini,
145,440,CNN,is-biased,84,gpt-5.4-mini,
253,441,FOX,is-biased,84,gpt-5.4-mini,
130,442,CNN,is-not-biased,84,gpt-5.4-mini,
83,443,BBC,is-not-biased,84,gpt-5.4-mini,
220,444,FOX,is-not-biased,94,gpt-5.4-mini,
274,445,FOX,is-not-biased,78,gpt-5.4-mini,
187,446,FOX,is-not-biased,86,gpt-5.4-mini,
139,447,CNN,is-biased,92,gpt-5.4-mini,
201,448,FOX,is-not-biased,92,gpt-5.4-mini,
239,449,FOX,is-not-biased,92,gpt-5.4-mini,
267,450,FOX,is-not-biased,96,gpt-5.4-mini,
101,451,BBC,is-not-biased,94,gpt-5.4-mini,
167,452,CNN,is-not-biased,84,gpt-5.4-mini,
56,453,BBC,is-not-biased,94,gpt-5.4-mini,
54,454,BBC,is-not-biased,94,gpt-5.4-mini,
277,455,FOX,is-not-biased,94,gpt-5.4-mini,
78,456,BBC,is-not-biased,92,gpt-5.4-mini,
39,457,BBC,is-not-biased,86,gpt-5.4-mini,
74,458,BBC,is-not-biased,84,gpt-5.4-mini,
223,459,FOX,is-not-biased,86,gpt-5.4-mini,
99,460,BBC,is-not-biased,98,gpt-5.4-mini,
162,461,CNN,is-not-biased,86,gpt-5.4-mini,
234,462,FOX,is-not-biased,92,gpt-5.4-mini,
76,463,BBC,is-not-biased,86,gpt-5.4-mini,
144,464,CNN,is-not-biased,92,gpt-5.4-mini,
183,465,FOX,is-not-biased,94,gpt-5.4-mini,
24,466,BBC,is-not-biased,96,gpt-5.4-mini,
81,467,BBC,is-not-biased,96,gpt-5.4-mini,
97,468,BBC,is-not-biased,94,gpt-5.4-mini,
279,469,FOX,is-biased,78,gpt-5.4-mini,
102,470,BBC,is-not-biased,92,gpt-5.4-mini,
165,471,CNN,is-not-biased,86,gpt-5.4-mini,
222,472,FOX,is-not-biased,92,gpt-5.4-mini,
67,473,BBC,is-not-biased,92,gpt-5.4-mini,
232,474,FOX,is-not-biased,72,gpt-5.4-mini,
156,475,CNN,is-not-biased,86,gpt-5.4-mini,
177,476,FOX,is-not-biased,74,gpt-5.4-mini,
136,477,CNN,is-not-biased,86,gpt-5.4-mini,
230,478,FOX,is-not-biased,92,gpt-5.4-mini,
34,479,BBC,is-not-biased,92,gpt-5.4-mini,
154,480,CNN,is-not-biased,92,gpt-5.4-mini,
227,481,FOX,is-not-biased,84,gpt-5.4-mini,
288,482,FOX,is-biased,92,gpt-5.4-mini,
41,483,BBC,is-not-biased,92,gpt-5.4-mini,
32,484,BBC,is-not-biased,92,gpt-5.4-mini,
130,485,CNN,is-not-biased,84,gpt-5.4-mini,
